                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:02,2013/08/03T22:42:02,          1.000,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:03,2013/08/03T22:42:06,          1.000,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:05,2013/08/03T22:42:19,          3.500,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:06,2013/08/03T22:42:06,          1.000,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:06,2013/08/03T22:42:11,          1.400,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:11,2013/08/03T22:42:13,          1.500,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:11,2013/08/03T22:42:15,         11.750,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:11,2013/08/03T22:42:23,          3.250,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:13,2013/08/03T22:42:15,          1.000,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:19,2013/08/03T22:42:33,          3.571,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:22,2013/08/03T22:42:28,          1.833,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:24,2013/08/03T22:42:39,          3.400,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:25,2013/08/03T22:42:40,          3.200,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:25,2013/08/03T22:42:43,          2.667,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:27,2013/08/03T22:42:27,          2.000,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:27,2013/08/03T22:42:41,          3.286,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:28,2013/08/03T22:42:34,          1.833,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:30,2013/08/03T22:42:36,          1.833,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:30,2013/08/03T22:42:46,          3.063,
                              10.5.12.2,                               10.5.6.2,2013/08/03T22:42:33,2013/08/03T22:42:34,          2.000,
