                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:01,2013/08/03T22:42:03,         21.500,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:02,2013/08/03T22:42:03,          3.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:02,2013/08/03T22:42:04,          1.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:02,2013/08/03T22:42:17,          3.267,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:03,2013/08/03T22:42:03,          1.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:03,2013/08/03T22:42:11,          1.125,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:04,2013/08/03T22:42:17,          3.615,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:05,2013/08/03T22:42:06,         46.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:11,2013/08/03T22:42:14,          0.333,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:12,2013/08/03T22:42:13,          2.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:13,2013/08/03T22:42:13,          1.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:16,2013/08/03T22:42:20,         14.500,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:16,2013/08/03T22:42:30,          2.786,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:17,2013/08/03T22:42:21,         12.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:17,2013/08/03T22:42:30,          3.692,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:18,2013/08/03T22:42:33,          3.400,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:19,2013/08/03T22:42:24,          9.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:20,2013/08/03T22:42:24,         11.250,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:22,2013/08/03T22:42:23,          2.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:31,2013/08/03T22:42:31,          2.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:32,2013/08/03T22:42:38,          1.333,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:34,2013/08/03T22:42:39,          1.200,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:34,2013/08/03T22:42:51,          2.765,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:38,2013/08/03T22:42:38,          1.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:38,2013/08/03T22:42:41,         15.667,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:41,2013/08/03T22:42:42,          3.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:44,2013/08/03T22:43:00,          0.250,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:44,2013/08/03T22:43:02,          2.611,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:45,2013/08/03T22:42:45,          2.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:45,2013/08/03T22:42:46,          3.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:49,2013/08/03T22:42:55,          1.667,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:51,2013/08/03T22:42:51,          2.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:51,2013/08/03T22:42:52,          2.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:51,2013/08/03T22:43:07,          1.688,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:54,2013/08/03T22:43:02,          0.375,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:55,2013/08/03T22:42:55,          1.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:55,2013/08/03T22:43:08,          3.615,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:42:58,2013/08/03T22:43:13,          1.733,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:43:00,2013/08/03T22:43:06,          1.500,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:43:01,2013/08/03T22:43:18,          2.647,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:43:02,2013/08/03T22:43:05,          1.000,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:43:02,2013/08/03T22:43:06,          0.750,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:43:02,2013/08/03T22:43:19,          0.176,
                              10.5.12.2,                              10.5.14.2,2013/08/03T22:43:05,2013/08/03T22:43:08,          1.000,
