                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:01,2013/08/03T22:42:01,          1.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:02,2013/08/03T22:42:02,          6.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:02,2013/08/03T22:42:04,         14.500,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:02,2013/08/03T22:42:17,          3.067,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:05,2013/08/03T22:42:15,          4.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:10,2013/08/03T22:42:11,         12.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:11,2013/08/03T22:42:11,          7.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:11,2013/08/03T22:42:27,          3.188,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:12,2013/08/03T22:42:12,          1.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:17,2013/08/03T22:42:30,          3.769,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:17,2013/08/03T22:42:33,          3.188,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:18,2013/08/03T22:42:22,         11.500,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:19,2013/08/03T22:42:35,          2.375,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:20,2013/08/03T22:42:20,          1.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:20,2013/08/03T22:42:25,          7.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:27,2013/08/03T22:42:40,          3.769,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:29,2013/08/03T22:42:47,          1.444,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:30,2013/08/03T22:42:31,          3.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:31,2013/08/03T22:42:46,          0.267,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:31,2013/08/03T22:42:47,          2.688,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:33,2013/08/03T22:42:34,          6.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:35,2013/08/03T22:42:36,          2.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:39,2013/08/03T22:42:55,          3.188,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:42,2013/08/03T22:42:43,         29.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:42,2013/08/03T22:42:47,          0.600,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:43,2013/08/03T22:42:43,          3.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:44,2013/08/03T22:42:59,          3.200,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:46,2013/08/03T22:42:46,          2.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:50,2013/08/03T22:42:50,          2.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:50,2013/08/03T22:42:51,          2.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:50,2013/08/03T22:42:55,          2.400,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:51,2013/08/03T22:42:58,          0.571,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:54,2013/08/03T22:42:54,          1.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:54,2013/08/03T22:43:08,          3.143,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:55,2013/08/03T22:42:55,          1.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:55,2013/08/03T22:43:11,          2.813,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:56,2013/08/03T22:42:56,          1.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:42:58,2013/08/03T22:42:58,          1.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:43:02,2013/08/03T22:43:20,          2.556,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:43:03,2013/08/03T22:43:06,          0.667,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:43:03,2013/08/03T22:43:21,          0.500,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:43:03,2013/08/03T22:43:27,          2.250,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:43:05,2013/08/03T22:43:20,          3.267,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:43:05,2013/08/03T22:43:27,          2.500,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:43:08,2013/08/03T22:43:13,          9.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:43:08,2013/08/03T22:43:20,          4.000,
                              10.5.12.2,                               10.5.2.2,2013/08/03T22:43:08,2013/08/03T22:43:24,          2.875,
