                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:01,2013/08/03T22:42:05,          0.750,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:01,2013/08/03T22:42:06,          0.600,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:02,2013/08/03T22:42:18,          3.063,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:03,2013/08/03T22:42:06,          0.667,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:03,2013/08/03T22:42:19,          0.250,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:05,2013/08/03T22:42:05,          1.000,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:11,2013/08/03T22:42:11,          2.000,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:11,2013/08/03T22:42:25,          1.000,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:13,2013/08/03T22:42:15,          1.000,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:15,2013/08/03T22:42:16,          4.000,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:15,2013/08/03T22:42:29,          1.357,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:15,2013/08/03T22:42:31,          2.125,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:16,2013/08/03T22:42:18,          1.500,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:16,2013/08/03T22:42:31,          3.200,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:16,2013/08/03T22:42:46,          0.167,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:18,2013/08/03T22:42:31,          4.077,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:18,2013/08/03T22:42:34,          3.188,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:20,2013/08/03T22:42:20,          1.000,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:20,2013/08/03T22:42:25,          0.400,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:20,2013/08/03T22:42:35,          2.467,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:22,2013/08/03T22:42:25,          1.333,
                              10.5.12.2,                               10.5.3.2,2013/08/03T22:42:28,2013/08/03T22:42:29,          3.000,
