                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:01,2013/08/03T22:42:02,          1.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:03,2013/08/03T22:42:04,          6.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:03,2013/08/03T22:42:05,          1.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:05,2013/08/03T22:42:05,          4.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:06,2013/08/03T22:42:07,         11.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:06,2013/08/03T22:42:11,          0.500,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:10,2013/08/03T22:42:10,          1.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:11,2013/08/03T22:42:12,          3.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:12,2013/08/03T22:42:12,          1.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:16,2013/08/03T22:42:31,          3.133,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:17,2013/08/03T22:42:30,          3.769,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:20,2013/08/03T22:42:24,         10.500,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:23,2013/08/03T22:42:24,          3.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:24,2013/08/03T22:42:31,          1.571,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:27,2013/08/03T22:42:30,          1.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:27,2013/08/03T22:42:40,          3.692,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:31,2013/08/03T22:42:31,          1.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:32,2013/08/03T22:42:32,          1.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:33,2013/08/03T22:42:39,          1.833,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:33,2013/08/03T22:42:46,          3.769,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:35,2013/08/03T22:42:35,          1.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:35,2013/08/03T22:42:51,          2.813,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:39,2013/08/03T22:42:39,          1.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:39,2013/08/03T22:42:54,          2.533,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:42,2013/08/03T22:42:48,          1.500,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:44,2013/08/03T22:43:01,          2.941,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:47,2013/08/03T22:42:49,         21.500,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:48,2013/08/03T22:42:48,          1.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:50,2013/08/03T22:43:05,          3.067,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:51,2013/08/03T22:43:07,          2.875,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:52,2013/08/03T22:43:07,          2.133,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:42:56,2013/08/03T22:43:11,          2.333,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:43:00,2013/08/03T22:43:03,          1.000,
                              10.5.12.2,                              10.5.11.2,2013/08/03T22:43:02,2013/08/03T22:43:03,          5.000,
