                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:02,2013/08/03T22:42:02,          2.000,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:02,2013/08/03T22:42:03,         47.000,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:03,2013/08/03T22:42:17,          0.643,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:05,2013/08/03T22:42:05,          1.000,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:05,2013/08/03T22:42:18,          0.538,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:10,2013/08/03T22:42:15,          8.700,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:11,2013/08/03T22:42:16,          1.200,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:11,2013/08/03T22:42:25,          2.000,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:14,2013/08/03T22:42:14,          3.000,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:17,2013/08/03T22:42:18,         44.000,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:18,2013/08/03T22:42:34,          3.188,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:19,2013/08/03T22:42:24,          9.600,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:19,2013/08/03T22:42:25,          6.667,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:19,2013/08/03T22:42:34,          3.267,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:20,2013/08/03T22:42:22,          1.000,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:21,2013/08/03T22:42:39,          2.833,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:22,2013/08/03T22:42:23,          2.000,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:22,2013/08/03T22:42:24,          1.500,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:24,2013/08/03T22:42:25,          2.000,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:24,2013/08/03T22:42:38,          3.571,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:25,2013/08/03T22:42:30,          0.800,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:26,2013/08/03T22:42:27,          2.000,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:31,2013/08/03T22:42:47,          1.563,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:32,2013/08/03T22:42:33,          3.000,
                              10.5.12.2,                              10.5.13.2,2013/08/03T22:42:33,2013/08/03T22:42:35,          2.000,
