                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:01,2013/08/03T22:42:01,          3.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:02,2013/08/03T22:42:04,          1.500,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:05,2013/08/03T22:42:19,          2.571,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:11,2013/08/03T22:42:11,          3.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:11,2013/08/03T22:42:13,          1.500,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:11,2013/08/03T22:42:14,          1.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:13,2013/08/03T22:42:15,          1.500,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:15,2013/08/03T22:42:15,          3.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:15,2013/08/03T22:42:19,         12.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:18,2013/08/03T22:42:23,          9.600,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:19,2013/08/03T22:42:36,          2.882,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:20,2013/08/03T22:42:25,          9.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:22,2013/08/03T22:42:27,          1.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:24,2013/08/03T22:42:24,          1.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:24,2013/08/03T22:42:29,         10.600,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:24,2013/08/03T22:42:39,          3.533,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:29,2013/08/03T22:42:31,          1.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:33,2013/08/03T22:42:47,          3.571,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:36,2013/08/03T22:42:51,          2.933,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:40,2013/08/03T22:42:42,          1.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:40,2013/08/03T22:42:58,          2.111,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:45,2013/08/03T22:42:47,          1.500,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:45,2013/08/03T22:42:49,          2.750,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:47,2013/08/03T22:42:50,          1.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:47,2013/08/03T22:43:03,          2.813,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:47,2013/08/03T22:43:06,          2.526,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:48,2013/08/03T22:42:49,          3.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:49,2013/08/03T22:42:49,          1.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:50,2013/08/03T22:43:06,          3.125,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:51,2013/08/03T22:43:03,          3.833,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:42:52,2013/08/03T22:43:07,          1.267,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:43:02,2013/08/03T22:43:18,          3.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:43:03,2013/08/03T22:43:08,          0.600,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:43:03,2013/08/03T22:43:21,          0.389,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:43:03,2013/08/03T22:43:26,          2.478,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:43:05,2013/08/03T22:43:24,          2.368,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:43:11,2013/08/03T22:43:31,          1.950,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:43:14,2013/08/03T22:43:14,          1.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:43:18,2013/08/03T22:43:19,          8.000,
                              10.5.12.2,                               10.5.8.2,2013/08/03T22:43:19,2013/08/03T22:43:21,          1.500,
