                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:27,2013/08/03T21:01:27,         68.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:30,2013/08/03T21:01:30,         53.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:35,2013/08/03T21:01:36,         50.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:37,2013/08/03T21:01:37,         55.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:38,2013/08/03T21:01:38,         54.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:40,2013/08/03T21:01:40,         54.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:41,2013/08/03T21:01:41,         54.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:41,2013/08/03T21:01:42,         55.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:42,2013/08/03T21:01:42,         53.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:50,2013/08/03T21:01:50,        111.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:51,2013/08/03T21:01:52,         52.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:52,2013/08/03T21:01:52,         68.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:52,2013/08/03T21:01:58,          6.167,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:53,2013/08/03T21:01:54,         51.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:55,2013/08/03T21:01:55,         68.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:58,2013/08/03T21:01:59,          6.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:01:58,2013/08/03T21:02:05,          5.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:00,2013/08/03T21:02:00,          5.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:03,2013/08/03T21:02:03,         55.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:05,2013/08/03T21:02:06,         54.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:06,2013/08/03T21:02:06,          6.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:07,2013/08/03T21:02:07,        106.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:08,2013/08/03T21:02:08,         53.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:08,2013/08/03T21:02:09,         66.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:09,2013/08/03T21:02:09,         59.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:10,2013/08/03T21:02:10,         54.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:11,2013/08/03T21:02:11,         55.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:12,2013/08/03T21:02:12,         28.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:14,2013/08/03T21:02:14,        183.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:14,2013/08/03T21:02:15,          6.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:15,2013/08/03T21:03:15,          0.167,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:16,2013/08/03T21:02:16,        120.000,
                              10.5.13.2,                              10.5.15.2,2013/08/03T21:02:17,2013/08/03T21:02:18,         74.000,
