                              10.5.13.2,                               10.5.1.2,2013/08/03T21:01:22,2013/08/03T21:01:23,          5.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:01:23,2013/08/03T21:01:23,         55.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:01:29,2013/08/03T21:01:29,         64.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:01:30,2013/08/03T21:01:30,         62.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:01:36,2013/08/03T21:01:36,        105.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:01:38,2013/08/03T21:01:45,          5.286,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:01:40,2013/08/03T21:01:40,         51.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:01:45,2013/08/03T21:01:45,         55.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:01:47,2013/08/03T21:01:47,         54.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:01:49,2013/08/03T21:01:49,         68.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:01:50,2013/08/03T21:01:50,         55.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:01:54,2013/08/03T21:01:54,         51.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:01:58,2013/08/03T21:01:58,         15.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:01:59,2013/08/03T21:02:00,         50.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:02:00,2013/08/03T21:02:00,         69.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:02:03,2013/08/03T21:02:03,         25.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:02:03,2013/08/03T21:02:04,         51.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:02:05,2013/08/03T21:02:05,         60.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:02:09,2013/08/03T21:02:09,         51.000,
                              10.5.13.2,                               10.5.1.2,2013/08/03T21:02:10,2013/08/03T21:02:10,         51.000,
