                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:25,2013/08/03T21:01:25,          8.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:29,2013/08/03T21:01:29,         14.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:31,2013/08/03T21:01:31,         50.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:32,2013/08/03T21:01:32,         82.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:33,2013/08/03T21:01:33,         51.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:33,2013/08/03T21:01:34,          2.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:34,2013/08/03T21:01:34,         24.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:39,2013/08/03T21:01:39,         53.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:39,2013/08/03T21:01:40,         76.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:43,2013/08/03T21:01:43,          7.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:45,2013/08/03T21:01:45,          4.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:45,2013/08/03T21:01:46,         54.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:46,2013/08/03T21:01:46,         55.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:47,2013/08/03T21:01:48,         54.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:49,2013/08/03T21:01:49,         58.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:51,2013/08/03T21:01:51,         53.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:52,2013/08/03T21:01:52,          1.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:56,2013/08/03T21:01:56,         52.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:01:57,2013/08/03T21:01:57,         68.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:02:06,2013/08/03T21:02:06,         50.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:02:07,2013/08/03T21:02:07,         60.000,
                              10.5.13.2,                               10.5.7.2,2013/08/03T21:02:14,2013/08/03T21:02:15,         77.000,
