                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:25,2013/08/03T21:01:25,         55.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:27,2013/08/03T21:01:28,         71.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:28,2013/08/03T21:01:28,          4.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:29,2013/08/03T21:01:29,          1.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:30,2013/08/03T21:01:31,          5.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:31,2013/08/03T21:01:31,          1.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:32,2013/08/03T21:01:32,         64.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:33,2013/08/03T21:01:33,        118.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:33,2013/08/03T21:02:08,          1.457,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:37,2013/08/03T21:01:37,         68.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:39,2013/08/03T21:01:39,         67.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:40,2013/08/03T21:01:40,        132.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:42,2013/08/03T21:01:42,         51.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:43,2013/08/03T21:01:43,         34.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:44,2013/08/03T21:01:44,         53.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:45,2013/08/03T21:01:45,          6.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:51,2013/08/03T21:01:51,         55.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:52,2013/08/03T21:01:52,         56.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:55,2013/08/03T21:01:55,         55.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:01:56,2013/08/03T21:01:56,         15.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:00,2013/08/03T21:02:00,          9.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:04,2013/08/03T21:02:04,          1.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:07,2013/08/03T21:02:08,         55.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:09,2013/08/03T21:02:09,         50.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:11,2013/08/03T21:02:11,         52.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:12,2013/08/03T21:02:12,         72.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:13,2013/08/03T21:02:13,         47.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:14,2013/08/03T21:02:14,         65.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:15,2013/08/03T21:02:15,         13.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:15,2013/08/03T21:02:16,          5.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:17,2013/08/03T21:02:17,          8.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:18,2013/08/03T21:02:18,         19.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:20,2013/08/03T21:02:20,        135.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:22,2013/08/03T21:02:22,        108.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:23,2013/08/03T21:02:24,         70.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:24,2013/08/03T21:02:25,         79.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:25,2013/08/03T21:02:25,          4.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:27,2013/08/03T21:02:27,         59.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:28,2013/08/03T21:02:28,         62.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:29,2013/08/03T21:02:29,        110.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:31,2013/08/03T21:02:31,         76.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:32,2013/08/03T21:02:32,        227.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:35,2013/08/03T21:02:35,        245.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:36,2013/08/03T21:02:36,         95.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:37,2013/08/03T21:02:37,         51.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:39,2013/08/03T21:02:39,         60.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:40,2013/08/03T21:02:41,         52.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:43,2013/08/03T21:02:43,         61.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:46,2013/08/03T21:02:46,         57.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:46,2013/08/03T21:02:51,        556.400,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:47,2013/08/03T21:02:47,         69.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:48,2013/08/03T21:02:48,          5.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:51,2013/08/03T21:02:52,         67.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:57,2013/08/03T21:02:57,         51.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:58,2013/08/03T21:02:58,        115.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:02:59,2013/08/03T21:02:59,         49.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:01,2013/08/03T21:03:01,         55.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:02,2013/08/03T21:03:02,         49.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:11,2013/08/03T21:03:12,         60.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:12,2013/08/03T21:03:12,         55.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:15,2013/08/03T21:03:15,          6.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:16,2013/08/03T21:03:16,         51.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:23,2013/08/03T21:03:23,          7.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:24,2013/08/03T21:03:24,         57.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:25,2013/08/03T21:03:25,          9.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:26,2013/08/03T21:03:26,         31.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:28,2013/08/03T21:03:28,        105.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:29,2013/08/03T21:03:29,         21.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:40,2013/08/03T21:03:40,         66.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:41,2013/08/03T21:03:41,          5.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:42,2013/08/03T21:03:42,         69.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:43,2013/08/03T21:03:43,         67.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:44,2013/08/03T21:03:44,         52.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:45,2013/08/03T21:03:45,          6.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:46,2013/08/03T21:03:46,        110.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:47,2013/08/03T21:03:47,         67.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:48,2013/08/03T21:03:48,         51.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:49,2013/08/03T21:03:49,         68.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:50,2013/08/03T21:03:50,        138.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:51,2013/08/03T21:03:51,         53.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:53,2013/08/03T21:03:53,         53.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:55,2013/08/03T21:03:55,         54.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:55,2013/08/03T21:03:57,         30.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:03:56,2013/08/03T21:03:56,         64.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:00,2013/08/03T21:04:00,         62.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:06,2013/08/03T21:04:06,        121.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:10,2013/08/03T21:04:10,          8.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:13,2013/08/03T21:04:13,         51.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:13,2013/08/03T21:04:14,          6.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:14,2013/08/03T21:04:14,         70.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:16,2013/08/03T21:04:16,         55.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:17,2013/08/03T21:04:17,        137.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:19,2013/08/03T21:04:19,         70.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:20,2013/08/03T21:04:20,         65.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:29,2013/08/03T21:04:29,          5.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:36,2013/08/03T21:04:36,         15.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:39,2013/08/03T21:04:39,          6.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:42,2013/08/03T21:04:42,         60.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:43,2013/08/03T21:04:43,         68.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:45,2013/08/03T21:04:45,        114.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:46,2013/08/03T21:04:46,          7.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:47,2013/08/03T21:04:47,         54.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:50,2013/08/03T21:04:50,         80.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:54,2013/08/03T21:04:54,         51.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:55,2013/08/03T21:04:55,          3.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:04:56,2013/08/03T21:04:56,        194.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:05:03,2013/08/03T21:05:03,         19.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:05:08,2013/08/03T21:05:08,         54.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:05:09,2013/08/03T21:05:10,          7.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:05:14,2013/08/03T21:05:15,         62.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:05:20,2013/08/03T21:05:20,        128.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:05:22,2013/08/03T21:05:22,         62.000,
                              10.5.13.2,                              10.5.14.2,2013/08/03T21:05:27,2013/08/03T21:05:28,         61.000,
