                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:23,2013/08/03T21:01:23,         55.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:25,2013/08/03T21:01:25,         55.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:33,2013/08/03T21:01:33,         68.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:33,2013/08/03T21:02:18,          0.400,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:34,2013/08/03T21:01:34,         67.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:36,2013/08/03T21:01:37,         53.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:38,2013/08/03T21:01:38,         16.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:39,2013/08/03T21:01:39,         52.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:41,2013/08/03T21:01:41,         58.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:42,2013/08/03T21:01:42,          7.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:43,2013/08/03T21:01:43,         53.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:47,2013/08/03T21:01:47,         69.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:51,2013/08/03T21:01:51,          5.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:52,2013/08/03T21:01:52,          5.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:54,2013/08/03T21:01:54,          8.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:56,2013/08/03T21:01:56,          5.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:58,2013/08/03T21:01:58,          8.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:01:59,2013/08/03T21:01:59,         53.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:02,2013/08/03T21:02:02,         51.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:03,2013/08/03T21:02:03,         58.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:10,2013/08/03T21:02:10,         12.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:12,2013/08/03T21:02:12,         61.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:13,2013/08/03T21:02:13,         63.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:14,2013/08/03T21:02:14,         64.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:15,2013/08/03T21:02:15,          4.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:15,2013/08/03T21:02:25,          0.800,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:18,2013/08/03T21:02:18,         55.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:19,2013/08/03T21:02:19,         43.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:20,2013/08/03T21:02:20,         61.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:21,2013/08/03T21:02:21,         59.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:22,2013/08/03T21:02:23,         34.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:23,2013/08/03T21:02:23,          2.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:25,2013/08/03T21:02:25,          8.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:27,2013/08/03T21:02:27,        147.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:32,2013/08/03T21:02:32,         68.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:33,2013/08/03T21:02:34,         75.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:33,2013/08/03T21:03:03,          1.633,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:34,2013/08/03T21:02:34,          3.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:36,2013/08/03T21:02:36,         52.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:37,2013/08/03T21:02:37,         53.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:38,2013/08/03T21:02:38,         37.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:53,2013/08/03T21:02:53,         11.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:54,2013/08/03T21:02:54,         48.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:02:59,2013/08/03T21:02:59,          8.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:03,2013/08/03T21:03:03,         54.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:03,2013/08/03T21:03:04,         50.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:05,2013/08/03T21:03:05,         60.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:06,2013/08/03T21:03:06,         58.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:08,2013/08/03T21:03:08,          8.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:10,2013/08/03T21:03:10,         53.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:20,2013/08/03T21:03:20,         18.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:22,2013/08/03T21:03:22,          8.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:26,2013/08/03T21:03:27,         57.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:31,2013/08/03T21:03:32,          6.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:32,2013/08/03T21:03:32,         58.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:32,2013/08/03T21:03:33,          3.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:34,2013/08/03T21:03:34,         28.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:36,2013/08/03T21:03:36,         69.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:38,2013/08/03T21:03:38,         50.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:41,2013/08/03T21:03:41,         63.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:41,2013/08/03T21:03:42,         17.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:44,2013/08/03T21:03:44,         68.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:46,2013/08/03T21:03:46,          6.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:51,2013/08/03T21:03:51,          6.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:54,2013/08/03T21:03:54,          6.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:57,2013/08/03T21:03:58,         53.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:03:58,2013/08/03T21:03:58,        179.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:02,2013/08/03T21:04:02,         71.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:03,2013/08/03T21:04:03,         58.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:14,2013/08/03T21:04:14,         54.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:16,2013/08/03T21:04:16,        122.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:17,2013/08/03T21:04:17,         68.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:18,2013/08/03T21:04:18,         54.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:20,2013/08/03T21:04:20,         67.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:21,2013/08/03T21:04:22,         67.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:22,2013/08/03T21:04:22,         55.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:24,2013/08/03T21:04:24,         70.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:25,2013/08/03T21:04:25,          7.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:30,2013/08/03T21:04:30,          5.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:36,2013/08/03T21:04:36,         66.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:38,2013/08/03T21:04:38,         59.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:41,2013/08/03T21:04:41,        186.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:42,2013/08/03T21:04:42,         66.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:43,2013/08/03T21:04:43,         53.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:44,2013/08/03T21:04:44,         61.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:49,2013/08/03T21:04:49,         85.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:50,2013/08/03T21:04:50,         73.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:52,2013/08/03T21:04:52,          6.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:52,2013/08/03T21:04:53,         11.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:53,2013/08/03T21:04:53,         55.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:54,2013/08/03T21:04:56,          8.500,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:04:57,2013/08/03T21:04:57,         10.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:03,2013/08/03T21:05:20,          3.294,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:09,2013/08/03T21:05:09,         54.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:10,2013/08/03T21:05:10,         48.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:12,2013/08/03T21:05:12,         52.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:13,2013/08/03T21:05:13,         71.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:14,2013/08/03T21:05:14,         55.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:16,2013/08/03T21:05:16,         57.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:17,2013/08/03T21:05:17,         52.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:18,2013/08/03T21:05:18,          5.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:20,2013/08/03T21:05:21,         67.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:21,2013/08/03T21:05:21,          5.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:22,2013/08/03T21:05:23,         68.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:23,2013/08/03T21:05:23,          5.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:27,2013/08/03T21:05:27,        145.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:27,2013/08/03T21:05:28,         77.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:28,2013/08/03T21:05:28,          3.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:29,2013/08/03T21:05:29,          8.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:30,2013/08/03T21:05:30,         28.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:31,2013/08/03T21:05:31,        181.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:42,2013/08/03T21:05:42,         65.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:44,2013/08/03T21:05:44,         94.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:45,2013/08/03T21:05:45,         57.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:45,2013/08/03T21:05:46,         62.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:46,2013/08/03T21:05:46,          2.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:47,2013/08/03T21:05:47,         56.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:47,2013/08/03T21:05:48,         74.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:48,2013/08/03T21:05:48,         65.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:05:58,2013/08/03T21:05:59,         58.500,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:06:04,2013/08/03T21:06:04,         59.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:06:05,2013/08/03T21:06:05,         53.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:06:06,2013/08/03T21:06:06,        123.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:06:07,2013/08/03T21:06:07,         61.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:06:12,2013/08/03T21:06:12,         13.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:06:21,2013/08/03T21:06:22,         30.500,
                              10.5.13.2,                               10.5.2.2,2013/08/03T21:06:22,2013/08/03T21:06:22,          3.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T23:21:40,2013/08/03T23:22:40,          0.150,
                              10.5.13.2,                               10.5.2.2,2013/08/03T23:21:41,2013/08/03T23:21:41,          3.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T23:21:44,2013/08/03T23:22:44,          0.183,
                              10.5.13.2,                               10.5.2.2,2013/08/03T23:21:45,2013/08/03T23:21:45,          1.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T23:21:47,2013/08/03T23:21:47,         12.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T23:21:48,2013/08/03T23:21:49,         27.500,
                              10.5.13.2,                               10.5.2.2,2013/08/03T23:21:49,2013/08/03T23:21:49,          7.000,
                              10.5.13.2,                               10.5.2.2,2013/08/03T23:21:50,2013/08/03T23:21:50,          8.000,
