                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:25,2013/08/03T21:01:25,          6.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:27,2013/08/03T21:01:28,         70.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:28,2013/08/03T21:01:28,          1.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:29,2013/08/03T21:01:29,         52.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:31,2013/08/03T21:01:31,         69.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:34,2013/08/03T21:01:35,         41.500,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:35,2013/08/03T21:01:35,         10.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:36,2013/08/03T21:01:36,         66.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:37,2013/08/03T21:01:37,         68.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:40,2013/08/03T21:01:40,         52.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:43,2013/08/03T21:01:43,         52.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:44,2013/08/03T21:01:44,         55.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:45,2013/08/03T21:02:45,          0.200,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:51,2013/08/03T21:01:51,         52.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:53,2013/08/03T21:01:53,         65.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:01:56,2013/08/03T21:01:56,         67.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:00,2013/08/03T21:02:00,         50.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:03,2013/08/03T21:02:04,          6.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:05,2013/08/03T21:02:05,         68.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:10,2013/08/03T21:02:10,         66.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:13,2013/08/03T21:02:13,         15.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:13,2013/08/03T21:02:14,          6.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:17,2013/08/03T21:02:17,         69.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:17,2013/08/03T21:02:18,         75.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:18,2013/08/03T21:02:18,         76.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:19,2013/08/03T21:02:19,        221.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:21,2013/08/03T21:02:22,         37.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:23,2013/08/03T21:02:23,         53.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:26,2013/08/03T21:02:26,        150.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:26,2013/08/03T21:02:27,         53.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:29,2013/08/03T21:02:29,         50.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:29,2013/08/03T21:02:30,          6.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:30,2013/08/03T21:02:30,         66.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:31,2013/08/03T21:02:31,         53.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:32,2013/08/03T21:02:32,         68.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:33,2013/08/03T21:02:33,          1.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:34,2013/08/03T21:02:34,          5.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:35,2013/08/03T21:02:35,          5.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:37,2013/08/03T21:02:37,         91.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:39,2013/08/03T21:02:39,         27.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:39,2013/08/03T21:02:40,         51.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:41,2013/08/03T21:02:41,         56.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:42,2013/08/03T21:02:42,         49.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:45,2013/08/03T21:02:45,          1.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:46,2013/08/03T21:02:46,         55.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:47,2013/08/03T21:02:47,         54.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:52,2013/08/03T21:02:52,         49.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:54,2013/08/03T21:02:54,        108.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:02:54,2013/08/03T21:02:55,          6.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:03,2013/08/03T21:03:03,         52.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:11,2013/08/03T21:03:12,          6.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:13,2013/08/03T21:03:13,         54.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:15,2013/08/03T21:03:15,        114.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:18,2013/08/03T21:03:18,          8.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:21,2013/08/03T21:03:23,          2.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:25,2013/08/03T21:03:25,          6.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:25,2013/08/03T21:03:26,         42.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:26,2013/08/03T21:03:26,         51.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:27,2013/08/03T21:03:27,         60.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:29,2013/08/03T21:03:29,          7.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:30,2013/08/03T21:03:30,         55.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:32,2013/08/03T21:03:32,         45.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:33,2013/08/03T21:03:33,          3.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:37,2013/08/03T21:03:37,         51.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:40,2013/08/03T21:03:40,         63.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:42,2013/08/03T21:03:42,         64.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:45,2013/08/03T21:03:45,          6.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:46,2013/08/03T21:03:47,         66.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:48,2013/08/03T21:03:48,          1.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:49,2013/08/03T21:03:49,          5.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:52,2013/08/03T21:03:52,         66.000,
                              10.5.13.2,                              10.5.16.2,2013/08/03T21:03:54,2013/08/03T21:03:54,         70.000,
