                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:24,2013/08/03T21:01:24,         54.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:26,2013/08/03T21:01:26,         54.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:27,2013/08/03T21:01:27,         54.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:27,2013/08/03T21:01:28,          3.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:28,2013/08/03T21:01:28,          6.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:32,2013/08/03T21:01:32,        132.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:33,2013/08/03T21:01:34,         72.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:34,2013/08/03T21:01:34,         66.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:35,2013/08/03T21:01:35,         60.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:37,2013/08/03T21:01:37,         53.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:39,2013/08/03T21:01:39,         57.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:48,2013/08/03T21:01:48,         60.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:49,2013/08/03T21:01:49,         72.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:50,2013/08/03T21:01:50,         52.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:52,2013/08/03T21:01:52,         54.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:56,2013/08/03T21:01:56,         70.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:57,2013/08/03T21:01:57,         15.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:01:58,2013/08/03T21:01:58,         54.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:01,2013/08/03T21:02:01,         58.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:02,2013/08/03T21:02:02,         49.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:03,2013/08/03T21:02:34,          1.742,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:04,2013/08/03T21:02:04,         54.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:06,2013/08/03T21:02:06,         68.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:13,2013/08/03T21:02:14,         60.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:14,2013/08/03T21:02:14,         54.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:16,2013/08/03T21:02:17,         59.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:17,2013/08/03T21:02:17,         59.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:17,2013/08/03T21:02:18,         66.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:18,2013/08/03T21:02:18,          1.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:22,2013/08/03T21:02:22,          9.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:26,2013/08/03T21:02:26,         61.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:27,2013/08/03T21:02:27,         69.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:27,2013/08/03T21:02:28,         68.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:28,2013/08/03T21:02:28,         81.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:29,2013/08/03T21:02:29,          7.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:30,2013/08/03T21:02:30,         54.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:31,2013/08/03T21:02:31,        133.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:32,2013/08/03T21:02:32,        133.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:33,2013/08/03T21:02:33,         60.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:33,2013/08/03T21:03:04,          1.548,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:34,2013/08/03T21:02:34,        101.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:35,2013/08/03T21:02:35,         60.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:36,2013/08/03T21:02:37,         67.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:37,2013/08/03T21:02:37,         56.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:38,2013/08/03T21:02:38,         64.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:39,2013/08/03T21:02:39,         52.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:40,2013/08/03T21:02:40,         47.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:41,2013/08/03T21:02:41,         55.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:41,2013/08/03T21:02:42,         65.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:44,2013/08/03T21:02:44,         11.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:47,2013/08/03T21:02:47,         55.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:50,2013/08/03T21:02:50,          9.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:51,2013/08/03T21:02:51,         67.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:54,2013/08/03T21:02:54,         60.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:55,2013/08/03T21:02:55,         51.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:02:56,2013/08/03T21:02:56,         50.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:00,2013/08/03T21:03:00,        116.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:01,2013/08/03T21:03:01,        105.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:03,2013/08/03T21:03:10,          4.857,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:06,2013/08/03T21:03:06,          6.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:08,2013/08/03T21:03:08,         55.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:09,2013/08/03T21:03:09,         39.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:29,2013/08/03T21:03:29,         53.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:30,2013/08/03T21:03:30,         33.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:31,2013/08/03T21:03:31,         39.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:32,2013/08/03T21:03:32,         53.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:35,2013/08/03T21:03:36,         66.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:36,2013/08/03T21:03:36,         70.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:36,2013/08/03T21:04:04,          0.107,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:37,2013/08/03T21:03:37,         69.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:40,2013/08/03T21:03:40,         66.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:43,2013/08/03T21:03:43,         55.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:45,2013/08/03T21:03:45,         66.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:46,2013/08/03T21:03:46,         54.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:48,2013/08/03T21:03:48,        121.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:50,2013/08/03T21:03:50,         53.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:51,2013/08/03T21:03:51,         80.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:53,2013/08/03T21:03:53,          1.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:53,2013/08/03T21:03:54,         68.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:54,2013/08/03T21:03:54,         58.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:03:57,2013/08/03T21:03:57,        132.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:00,2013/08/03T21:04:00,         53.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:01,2013/08/03T21:04:01,          7.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:02,2013/08/03T21:04:02,          7.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:03,2013/08/03T21:04:03,         67.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:07,2013/08/03T21:04:07,          7.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:16,2013/08/03T21:04:16,         50.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:18,2013/08/03T21:04:18,         67.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:21,2013/08/03T21:04:21,         52.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:25,2013/08/03T21:04:25,         74.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:26,2013/08/03T21:04:26,         17.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:28,2013/08/03T21:04:28,          4.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:30,2013/08/03T21:04:30,         59.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:31,2013/08/03T21:04:31,         55.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:32,2013/08/03T21:04:32,          6.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:32,2013/08/03T21:04:33,         53.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:33,2013/08/03T21:04:33,         66.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:33,2013/08/03T21:04:34,         50.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:34,2013/08/03T21:04:34,        120.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:35,2013/08/03T21:04:35,         67.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:38,2013/08/03T21:04:38,         55.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:39,2013/08/03T21:04:39,        123.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:40,2013/08/03T21:04:40,        144.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:41,2013/08/03T21:04:41,         62.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:44,2013/08/03T21:04:44,         53.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:45,2013/08/03T21:04:45,          5.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:45,2013/08/03T21:05:45,          0.200,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:48,2013/08/03T21:04:48,        131.000,
                              10.5.13.2,                               10.5.4.2,2013/08/03T21:04:49,2013/08/03T21:04:49,        126.000,
