                              10.5.13.2,                              10.5.11.2,2013/08/03T21:01:23,2013/08/03T21:01:23,         15.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:01:23,2013/08/03T21:01:24,         52.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:01:24,2013/08/03T21:01:24,         54.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:01:27,2013/08/03T21:01:27,         71.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:01:29,2013/08/03T21:01:34,        528.200,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:01:30,2013/08/03T21:01:30,         66.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:01:31,2013/08/03T21:01:31,         13.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:01:32,2013/08/03T21:01:32,        124.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:01:33,2013/08/03T21:01:33,         66.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:01:36,2013/08/03T21:01:36,          7.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:01:38,2013/08/03T21:01:38,         66.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:01:45,2013/08/03T21:01:45,         67.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:01:51,2013/08/03T21:01:51,         69.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:03,2013/08/03T21:02:33,          1.633,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:04,2013/08/03T21:02:04,          6.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:09,2013/08/03T21:02:09,          7.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:14,2013/08/03T21:02:14,         63.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:15,2013/08/03T21:02:15,         52.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:16,2013/08/03T21:02:16,         81.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:17,2013/08/03T21:02:17,         52.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:21,2013/08/03T21:02:21,         77.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:23,2013/08/03T21:02:23,         78.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:25,2013/08/03T21:02:25,         51.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:28,2013/08/03T21:02:28,         64.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:29,2013/08/03T21:02:29,         71.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:31,2013/08/03T21:02:31,         79.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:36,2013/08/03T21:02:36,         68.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:38,2013/08/03T21:02:38,        188.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:39,2013/08/03T21:02:39,         68.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:41,2013/08/03T21:02:41,         60.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:42,2013/08/03T21:02:42,        122.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:43,2013/08/03T21:02:43,          6.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:48,2013/08/03T21:02:48,         13.000,
                              10.5.13.2,                              10.5.11.2,2013/08/03T21:02:51,2013/08/03T21:02:51,         53.000,
