                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:22,2013/08/03T21:01:22,          7.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:24,2013/08/03T21:01:24,         21.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:25,2013/08/03T21:01:25,         14.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:26,2013/08/03T21:01:26,         56.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:31,2013/08/03T21:01:31,         77.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:34,2013/08/03T21:01:34,         15.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:36,2013/08/03T21:01:36,         84.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:41,2013/08/03T21:01:44,         17.333,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:44,2013/08/03T21:01:44,        159.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:44,2013/08/03T21:01:45,         51.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:45,2013/08/03T21:01:45,         62.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:48,2013/08/03T21:01:48,         53.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:51,2013/08/03T21:01:51,         53.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:52,2013/08/03T21:01:52,         53.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:57,2013/08/03T21:01:57,        104.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:01:59,2013/08/03T21:01:59,         50.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:02:01,2013/08/03T21:02:01,        130.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:02:04,2013/08/03T21:02:04,         51.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:02:05,2013/08/03T21:02:05,         56.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:02:07,2013/08/03T21:02:07,        124.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:02:08,2013/08/03T21:02:09,          6.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:02:11,2013/08/03T21:02:11,         51.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:02:11,2013/08/03T21:02:12,         51.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:02:12,2013/08/03T21:02:12,         50.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:02:13,2013/08/03T21:02:13,        196.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:02:14,2013/08/03T21:02:14,          9.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:02:15,2013/08/03T21:02:15,         52.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:02:15,2013/08/03T21:02:16,         63.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:02:16,2013/08/03T21:02:16,        133.000,
                              10.5.13.2,                              10.5.12.2,2013/08/03T21:02:17,2013/08/03T21:02:17,         80.000,
