                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:22,2013/08/03T21:01:22,         50.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:24,2013/08/03T21:01:24,          7.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:29,2013/08/03T21:01:30,         14.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:30,2013/08/03T21:01:30,          1.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:31,2013/08/03T21:01:31,         60.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:32,2013/08/03T21:01:32,          1.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:33,2013/08/03T21:01:33,         33.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:33,2013/08/03T21:01:34,         51.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:34,2013/08/03T21:01:34,          7.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:35,2013/08/03T21:01:35,         53.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:38,2013/08/03T21:01:39,          6.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:39,2013/08/03T21:01:39,         63.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:45,2013/08/03T21:01:45,          8.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:46,2013/08/03T21:01:46,         54.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:47,2013/08/03T21:01:47,          9.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:48,2013/08/03T21:01:48,         68.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:49,2013/08/03T21:01:49,         54.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:54,2013/08/03T21:01:54,         61.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:57,2013/08/03T21:01:57,          7.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:58,2013/08/03T21:01:58,         63.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:01:59,2013/08/03T21:01:59,          8.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:00,2013/08/03T21:02:00,         54.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:03,2013/08/03T21:02:03,         54.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:03,2013/08/03T21:02:13,          0.900,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:03,2013/08/03T21:03:03,          0.300,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:05,2013/08/03T21:02:11,          6.167,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:06,2013/08/03T21:02:06,         55.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:08,2013/08/03T21:02:08,         61.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:10,2013/08/03T21:02:10,        104.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:11,2013/08/03T21:02:11,          2.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:14,2013/08/03T21:02:14,         27.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:14,2013/08/03T21:02:15,         69.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:15,2013/08/03T21:02:15,          3.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:17,2013/08/03T21:02:17,         55.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:18,2013/08/03T21:02:18,         71.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:19,2013/08/03T21:02:19,         67.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:21,2013/08/03T21:02:21,         61.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:22,2013/08/03T21:02:22,         10.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:24,2013/08/03T21:02:24,         58.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:25,2013/08/03T21:02:25,         56.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:26,2013/08/03T21:02:26,         71.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:28,2013/08/03T21:02:28,         59.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:29,2013/08/03T21:02:29,         95.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:30,2013/08/03T21:02:30,        202.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:31,2013/08/03T21:02:31,         73.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:32,2013/08/03T21:02:33,         21.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:33,2013/08/03T21:02:33,        121.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:34,2013/08/03T21:02:34,         76.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:34,2013/08/03T21:02:35,          4.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:34,2013/08/03T21:02:36,          1.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:38,2013/08/03T21:02:38,        202.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:39,2013/08/03T21:02:39,          3.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:41,2013/08/03T21:02:41,         54.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:45,2013/08/03T21:02:46,         51.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:46,2013/08/03T21:02:46,         10.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:47,2013/08/03T21:02:47,          8.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:54,2013/08/03T21:02:54,         75.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:02:59,2013/08/03T21:02:59,        106.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:03:01,2013/08/03T21:03:01,          7.000,
                              10.5.13.2,                               10.5.8.2,2013/08/03T21:03:04,2013/08/03T21:03:04,          5.000,
