                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:18,2013/08/04T18:09:18,          3.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:18,2013/08/04T18:09:25,          4.571,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:19,2013/08/04T18:09:19,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:20,2013/08/04T18:09:20,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:20,2013/08/04T18:09:28,          4.500,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:20,2013/08/04T18:10:26,          0.045,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:22,2013/08/04T18:09:22,          1.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:23,2013/08/04T18:09:24,          1.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:24,2013/08/04T18:09:24,          1.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:26,2013/08/04T18:09:26,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:27,2013/08/04T18:09:27,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:29,2013/08/04T18:09:29,          4.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:30,2013/08/04T18:10:26,          0.036,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:31,2013/08/04T18:09:31,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:31,2013/08/04T18:09:36,          0.400,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:31,2013/08/04T18:10:40,          0.058,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:32,2013/08/04T18:09:32,          7.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:32,2013/08/04T18:09:39,          0.714,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:33,2013/08/04T18:09:33,          4.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:35,2013/08/04T18:09:35,         21.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:36,2013/08/04T18:09:36,         11.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:38,2013/08/04T18:09:38,          4.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:39,2013/08/04T18:09:39,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:40,2013/08/04T18:09:40,          9.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:41,2013/08/04T18:09:41,          9.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:42,2013/08/04T18:09:42,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:42,2013/08/04T18:09:56,          2.714,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:44,2013/08/04T18:09:50,          0.500,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:46,2013/08/04T18:09:46,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:47,2013/08/04T18:09:47,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:47,2013/08/04T18:09:54,          0.429,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:47,2013/08/04T18:09:58,          0.273,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:47,2013/08/04T18:10:57,          0.057,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:48,2013/08/04T18:09:48,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:49,2013/08/04T18:09:55,          0.500,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:50,2013/08/04T18:09:56,          0.500,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:51,2013/08/04T18:09:51,          6.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:52,2013/08/04T18:09:52,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:52,2013/08/04T18:09:57,          0.600,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:54,2013/08/04T18:11:01,          0.060,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:55,2013/08/04T18:09:55,          4.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:55,2013/08/04T18:10:00,          1.200,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:55,2013/08/04T18:10:05,          0.300,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:55,2013/08/04T18:10:59,          0.063,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:56,2013/08/04T18:10:52,          0.071,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:56,2013/08/04T18:10:59,          0.063,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:56,2013/08/04T18:11:10,          0.054,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:58,2013/08/04T18:09:58,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:09:59,2013/08/04T18:09:59,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:00,2013/08/04T18:10:00,          3.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:00,2013/08/04T18:10:05,          0.800,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:01,2013/08/04T18:10:07,          0.500,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:02,2013/08/04T18:10:02,         25.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:04,2013/08/04T18:10:12,          1.750,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:06,2013/08/04T18:10:12,          0.500,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:07,2013/08/04T18:10:07,          3.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:07,2013/08/04T18:10:08,          5.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:12,2013/08/04T18:10:17,          0.400,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:15,2013/08/04T18:10:17,         50.500,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:17,2013/08/04T18:10:17,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:18,2013/08/04T18:10:18,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:19,2013/08/04T18:10:19,          1.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:23,2013/08/04T18:10:23,          3.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:26,2013/08/04T18:10:26,         10.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:26,2013/08/04T18:11:24,          0.069,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:36,2013/08/04T18:10:57,          0.143,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:37,2013/08/04T18:10:37,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:37,2013/08/04T18:11:25,          0.083,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:38,2013/08/04T18:10:38,          2.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:38,2013/08/04T18:10:39,          1.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:38,2013/08/04T18:11:35,          0.035,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:39,2013/08/04T18:10:39,          4.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:39,2013/08/04T18:11:21,          0.048,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:40,2013/08/04T18:10:40,          1.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:40,2013/08/04T18:11:37,          0.053,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:41,2013/08/04T18:10:41,          4.000,
                              10.5.15.2,                               10.5.1.2,2013/08/04T18:10:43,2013/08/04T18:10:46,         65.000,
