                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:16,2013/08/04T18:09:16,          2.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:18,2013/08/04T18:09:18,          9.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:18,2013/08/04T18:09:28,          0.300,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:20,2013/08/04T18:09:28,          2.375,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:20,2013/08/04T18:09:41,          1.667,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:21,2013/08/04T18:09:28,          3.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:22,2013/08/04T18:09:22,         21.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:22,2013/08/04T18:09:27,          0.400,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:23,2013/08/04T18:09:23,          1.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:23,2013/08/04T18:09:28,          0.600,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:24,2013/08/04T18:09:24,          2.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:24,2013/08/04T18:09:34,          3.100,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:28,2013/08/04T18:09:33,          0.400,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:29,2013/08/04T18:09:29,         12.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:30,2013/08/04T18:09:30,          2.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:30,2013/08/04T18:09:35,          0.600,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:31,2013/08/04T18:09:31,          2.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:32,2013/08/04T18:09:32,          4.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:33,2013/08/04T18:09:33,          2.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:33,2013/08/04T18:09:38,          0.600,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:34,2013/08/04T18:09:39,          0.600,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:36,2013/08/04T18:09:36,         16.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:40,2013/08/04T18:09:45,          0.600,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:41,2013/08/04T18:09:41,          2.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:41,2013/08/04T18:10:44,          0.063,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:42,2013/08/04T18:09:50,          8.625,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:43,2013/08/04T18:09:49,          0.500,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:45,2013/08/04T18:09:45,          2.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:46,2013/08/04T18:09:46,          2.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:46,2013/08/04T18:09:56,          0.300,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:46,2013/08/04T18:10:47,          0.066,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:47,2013/08/04T18:09:54,          0.429,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:51,2013/08/04T18:09:51,          6.000,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:52,2013/08/04T18:10:40,          0.083,
                              10.5.15.2,                              10.5.20.2,2013/08/04T18:09:55,2013/08/04T18:09:55,         11.000,
