                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:11,2013/08/04T18:14:15,         91.289,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:15,2013/08/04T18:09:59,          0.023,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:18,2013/08/04T18:09:18,         10.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:20,2013/08/04T18:09:20,          5.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:20,2013/08/04T18:09:28,          6.688,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:20,2013/08/04T18:09:59,          0.051,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:22,2013/08/04T18:09:22,          3.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:23,2013/08/04T18:09:23,          1.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:24,2013/08/04T18:09:29,          0.600,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:25,2013/08/04T18:09:25,          2.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:25,2013/08/04T18:09:32,          0.429,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:26,2013/08/04T18:09:26,          2.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:27,2013/08/04T18:09:37,          0.300,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:27,2013/08/04T18:10:26,          0.068,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:28,2013/08/04T18:09:34,          0.389,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:29,2013/08/04T18:09:29,          2.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:30,2013/08/04T18:09:30,         27.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:30,2013/08/04T18:09:40,          0.300,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:31,2013/08/04T18:09:34,         66.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:31,2013/08/04T18:09:41,          0.300,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:32,2013/08/04T18:09:32,         10.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:34,2013/08/04T18:10:38,          0.063,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:34,2013/08/04T18:10:39,          0.062,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:35,2013/08/04T18:09:35,          2.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:37,2013/08/04T18:09:42,          0.600,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:38,2013/08/04T18:09:43,          0.600,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:39,2013/08/04T18:09:39,          2.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:40,2013/08/04T18:09:40,          4.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:41,2013/08/04T18:09:47,          0.500,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:42,2013/08/04T18:09:42,          1.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:42,2013/08/04T18:09:50,          6.813,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:43,2013/08/04T18:09:43,          2.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:46,2013/08/04T18:09:46,          1.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:46,2013/08/04T18:09:56,          0.300,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:48,2013/08/04T18:09:58,          0.300,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:50,2013/08/04T18:09:50,          1.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:50,2013/08/04T18:10:58,          0.059,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:51,2013/08/04T18:09:57,          0.667,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:52,2013/08/04T18:09:53,          6.000,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:52,2013/08/04T18:09:57,          0.600,
                              10.5.15.2,                               10.5.7.2,2013/08/04T18:09:53,2013/08/04T18:09:53,          2.000,
