                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:15,2013/08/04T18:09:15,          1.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:16,2013/08/04T18:11:18,          0.016,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:18,2013/08/04T18:09:18,          4.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:18,2013/08/04T18:10:03,          0.044,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:19,2013/08/04T18:09:19,          8.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:19,2013/08/04T18:10:05,          0.043,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:20,2013/08/04T18:09:28,          9.625,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:20,2013/08/04T18:09:31,          0.273,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:20,2013/08/04T18:10:16,          0.036,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:21,2013/08/04T18:09:21,          1.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:21,2013/08/04T18:09:28,          2.429,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:23,2013/08/04T18:09:23,          2.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:24,2013/08/04T18:09:24,          3.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:25,2013/08/04T18:09:25,          2.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:26,2013/08/04T18:09:27,          3.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:26,2013/08/04T18:10:24,          0.052,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:28,2013/08/04T18:09:34,          0.333,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:30,2013/08/04T18:09:30,          2.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:30,2013/08/04T18:09:35,          0.800,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:30,2013/08/04T18:09:40,          0.300,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:32,2013/08/04T18:09:32,          5.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:33,2013/08/04T18:10:41,          0.059,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:34,2013/08/04T18:09:34,          1.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:35,2013/08/04T18:09:35,          2.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:38,2013/08/04T18:09:38,          2.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:39,2013/08/04T18:09:39,         12.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:41,2013/08/04T18:09:44,         71.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:41,2013/08/04T18:10:41,          0.050,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:42,2013/08/04T18:09:50,          5.219,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:42,2013/08/04T18:10:47,          0.062,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:43,2013/08/04T18:09:43,          2.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:43,2013/08/04T18:09:50,          0.571,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:46,2013/08/04T18:09:46,          2.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:46,2013/08/04T18:09:50,         53.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:46,2013/08/04T18:09:56,          0.300,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:47,2013/08/04T18:09:57,          0.300,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:47,2013/08/04T18:09:58,          0.273,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:48,2013/08/04T18:09:48,          8.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:48,2013/08/04T18:10:55,          0.060,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:49,2013/08/04T18:09:49,          2.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:51,2013/08/04T18:09:51,          2.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:51,2013/08/04T18:09:56,          0.400,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:52,2013/08/04T18:09:52,         13.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:53,2013/08/04T18:09:53,          4.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:56,2013/08/04T18:10:01,          0.800,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:56,2013/08/04T18:10:52,          0.071,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:57,2013/08/04T18:09:57,          2.000,
                              10.5.15.2,                              10.5.14.2,2013/08/04T18:09:59,2013/08/04T18:09:59,          4.000,
