                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:15,2013/08/04T18:09:15,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:16,2013/08/04T18:09:16,          1.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:18,2013/08/04T18:09:18,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:18,2013/08/04T18:09:23,          1.200,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:19,2013/08/04T18:09:19,         12.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:20,2013/08/04T18:09:28,          8.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:22,2013/08/04T18:10:20,          0.069,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:23,2013/08/04T18:09:23,          1.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:23,2013/08/04T18:09:33,          0.300,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:24,2013/08/04T18:10:18,          0.037,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:25,2013/08/04T18:09:26,          1.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:28,2013/08/04T18:09:32,          0.500,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:29,2013/08/04T18:09:29,         13.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:30,2013/08/04T18:09:33,         74.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:30,2013/08/04T18:09:40,          0.300,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:30,2013/08/04T18:10:17,          0.043,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:31,2013/08/04T18:09:41,          0.300,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:33,2013/08/04T18:09:33,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:33,2013/08/04T18:09:38,          0.600,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:33,2013/08/04T18:10:04,          0.161,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:35,2013/08/04T18:09:35,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:38,2013/08/04T18:09:48,          0.300,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:40,2013/08/04T18:09:40,          4.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:40,2013/08/04T18:09:51,         46.818,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:41,2013/08/04T18:09:41,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:42,2013/08/04T18:09:42,         12.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:42,2013/08/04T18:09:48,          0.667,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:42,2013/08/04T18:09:50,          5.875,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:42,2013/08/04T18:09:51,          5.778,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:43,2013/08/04T18:09:43,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:43,2013/08/04T18:09:45,          3.500,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:43,2013/08/04T18:09:53,          0.300,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:44,2013/08/04T18:09:44,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:44,2013/08/04T18:10:48,          0.063,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:46,2013/08/04T18:09:46,          1.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:47,2013/08/04T18:09:47,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:47,2013/08/04T18:09:49,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:47,2013/08/04T18:09:57,          0.300,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:49,2013/08/04T18:09:49,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:49,2013/08/04T18:09:55,          0.500,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:49,2013/08/04T18:09:59,          0.300,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:49,2013/08/04T18:10:59,          0.057,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:50,2013/08/04T18:09:56,          0.500,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:51,2013/08/04T18:09:51,          1.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:52,2013/08/04T18:09:52,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:52,2013/08/04T18:10:02,          0.300,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:53,2013/08/04T18:09:53,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:53,2013/08/04T18:09:58,          0.600,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:54,2013/08/04T18:09:54,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:55,2013/08/04T18:09:55,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:55,2013/08/04T18:10:05,          0.300,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:57,2013/08/04T18:09:57,          4.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:58,2013/08/04T18:09:58,         25.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:58,2013/08/04T18:10:59,          0.049,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:09:59,2013/08/04T18:09:59,          7.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:00,2013/08/04T18:10:05,          0.800,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:01,2013/08/04T18:10:01,          2.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:01,2013/08/04T18:10:11,          0.300,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:02,2013/08/04T18:10:02,         33.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:02,2013/08/04T18:10:07,          0.600,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:04,2013/08/04T18:10:04,          1.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:04,2013/08/04T18:10:06,          0.500,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:04,2013/08/04T18:10:11,          0.667,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:04,2013/08/04T18:10:12,          3.625,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:04,2013/08/04T18:10:42,          9.579,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:05,2013/08/04T18:11:12,          0.060,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:06,2013/08/04T18:10:57,          0.078,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:07,2013/08/04T18:10:07,          1.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:12,2013/08/04T18:10:12,          1.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:16,2013/08/04T18:10:16,         13.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:17,2013/08/04T18:10:17,          6.000,
                              10.5.15.2,                               10.5.2.2,2013/08/04T18:10:18,2013/08/04T18:10:18,          3.000,
