                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:15,2013/08/04T18:09:58,          0.093,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:18,2013/08/04T18:09:18,          8.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:19,2013/08/04T18:09:19,          3.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:20,2013/08/04T18:09:25,          0.600,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:20,2013/08/04T18:09:28,          4.016,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:21,2013/08/04T18:09:21,          2.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:21,2013/08/04T18:09:27,          0.583,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:22,2013/08/04T18:09:22,          2.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:24,2013/08/04T18:09:24,          1.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:24,2013/08/04T18:10:17,          0.038,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:24,2013/08/04T18:10:20,          0.036,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:24,2013/08/04T18:10:22,          0.034,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:25,2013/08/04T18:09:30,          0.600,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:25,2013/08/04T18:09:31,          0.500,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:26,2013/08/04T18:09:31,          0.600,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:27,2013/08/04T18:09:27,          2.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:28,2013/08/04T18:09:34,          0.417,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:28,2013/08/04T18:09:38,          0.300,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:29,2013/08/04T18:11:24,          0.026,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:30,2013/08/04T18:09:30,          6.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:30,2013/08/04T18:09:40,          0.300,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:31,2013/08/04T18:09:31,          4.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:31,2013/08/04T18:09:36,          0.600,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:34,2013/08/04T18:09:34,          1.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:36,2013/08/04T18:09:36,         15.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:36,2013/08/04T18:09:41,          0.800,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:37,2013/08/04T18:09:42,        539.400,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:38,2013/08/04T18:09:43,          0.800,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:40,2013/08/04T18:09:40,         60.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:41,2013/08/04T18:09:41,          4.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:41,2013/08/04T18:09:51,          0.200,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:42,2013/08/04T18:09:42,          2.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:42,2013/08/04T18:09:50,          7.625,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:42,2013/08/04T18:09:51,          3.389,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:43,2013/08/04T18:09:50,          1.286,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:44,2013/08/04T18:09:44,          2.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:44,2013/08/04T18:09:46,          1.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:45,2013/08/04T18:09:45,          3.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:45,2013/08/04T18:09:50,          0.600,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:45,2013/08/04T18:09:55,          0.300,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:46,2013/08/04T18:09:46,          2.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:46,2013/08/04T18:10:43,          0.070,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:47,2013/08/04T18:09:47,          2.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:49,2013/08/04T18:09:49,          2.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:49,2013/08/04T18:09:56,          0.429,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:50,2013/08/04T18:10:45,          0.073,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:53,2013/08/04T18:09:54,          3.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:54,2013/08/04T18:09:59,          0.800,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:54,2013/08/04T18:10:54,          0.067,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:56,2013/08/04T18:09:56,          2.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:56,2013/08/04T18:10:06,          0.300,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:57,2013/08/04T18:10:07,          0.300,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:58,2013/08/04T18:09:58,          1.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:59,2013/08/04T18:09:59,          2.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:09:59,2013/08/04T18:10:04,          0.800,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:10:00,2013/08/04T18:10:00,         17.000,
                              10.5.15.2,                               10.5.3.2,2013/08/04T18:10:00,2013/08/04T18:10:05,          0.700,
