                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:16,2013/08/04T18:09:16,          2.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:18,2013/08/04T18:09:18,          8.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:18,2013/08/04T18:10:01,          0.047,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:20,2013/08/04T18:09:28,          5.125,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:21,2013/08/04T18:09:28,          7.429,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:22,2013/08/04T18:09:22,          4.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:23,2013/08/04T18:09:24,          4.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:27,2013/08/04T18:09:27,          4.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:28,2013/08/04T18:09:28,          2.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:28,2013/08/04T18:09:30,          2.500,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:28,2013/08/04T18:09:32,          0.500,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:30,2013/08/04T18:09:30,          2.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:31,2013/08/04T18:09:31,         39.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:31,2013/08/04T18:09:41,          0.300,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:32,2013/08/04T18:09:37,          0.600,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:34,2013/08/04T18:09:34,          2.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:34,2013/08/04T18:09:39,          0.600,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:34,2013/08/04T18:09:42,         81.375,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:35,2013/08/04T18:09:45,          0.300,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:36,2013/08/04T18:09:36,          9.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:36,2013/08/04T18:09:46,          0.300,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:36,2013/08/04T18:10:38,          0.065,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:39,2013/08/04T18:09:44,          0.600,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:40,2013/08/04T18:09:40,          8.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:41,2013/08/04T18:09:41,         19.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:41,2013/08/04T18:10:42,          0.049,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:42,2013/08/04T18:09:50,          4.750,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:42,2013/08/04T18:09:51,          6.222,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:42,2013/08/04T18:09:53,          0.273,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:43,2013/08/04T18:10:45,          0.065,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:44,2013/08/04T18:09:44,          2.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:44,2013/08/04T18:10:51,          0.060,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:46,2013/08/04T18:09:52,          0.667,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:49,2013/08/04T18:10:53,          0.063,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:50,2013/08/04T18:09:50,          2.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:50,2013/08/04T18:09:51,         18.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:50,2013/08/04T18:10:00,          0.300,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:52,2013/08/04T18:09:52,          2.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:52,2013/08/04T18:09:57,          0.600,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:53,2013/08/04T18:09:53,          2.000,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:53,2013/08/04T18:11:02,          0.058,
                              10.5.15.2,                               10.5.9.2,2013/08/04T18:09:56,2013/08/04T18:09:56,          2.000,
