                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:16,2013/08/04T18:14:15,         97.298,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:18,2013/08/04T18:09:18,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:18,2013/08/04T18:10:01,          0.047,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:19,2013/08/04T18:09:24,          0.600,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:19,2013/08/04T18:10:11,          0.038,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:20,2013/08/04T18:09:20,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:23,2013/08/04T18:09:23,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:23,2013/08/04T18:09:28,          1.500,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:23,2013/08/04T18:10:18,          0.027,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:24,2013/08/04T18:09:26,          6.500,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:24,2013/08/04T18:09:30,          0.500,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:24,2013/08/04T18:10:07,          0.093,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:25,2013/08/04T18:09:25,          4.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:28,2013/08/04T18:09:28,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:32,2013/08/04T18:09:32,          9.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:33,2013/08/04T18:09:33,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:34,2013/08/04T18:09:34,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:34,2013/08/04T18:09:44,          0.300,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:34,2013/08/04T18:10:53,          0.051,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:36,2013/08/04T18:09:36,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:37,2013/08/04T18:09:37,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:38,2013/08/04T18:09:39,         16.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:38,2013/08/04T18:09:48,          0.300,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:39,2013/08/04T18:09:39,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:39,2013/08/04T18:09:44,          0.600,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:39,2013/08/04T18:09:49,          0.300,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:39,2013/08/04T18:10:47,          0.059,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:40,2013/08/04T18:09:40,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:41,2013/08/04T18:09:41,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:42,2013/08/04T18:09:50,          4.375,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:43,2013/08/04T18:09:48,          0.800,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:44,2013/08/04T18:09:44,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:44,2013/08/04T18:10:44,          0.067,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:46,2013/08/04T18:10:38,          0.077,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:47,2013/08/04T18:09:47,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:48,2013/08/04T18:09:48,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:48,2013/08/04T18:09:59,          0.273,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:50,2013/08/04T18:09:51,          4.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:54,2013/08/04T18:09:54,         18.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:55,2013/08/04T18:09:55,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:56,2013/08/04T18:09:56,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:56,2013/08/04T18:10:00,         53.250,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:58,2013/08/04T18:09:58,         16.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:09:59,2013/08/04T18:10:05,         60.500,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:01,2013/08/04T18:10:01,          5.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:02,2013/08/04T18:10:03,          4.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:04,2013/08/04T18:10:04,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:04,2013/08/04T18:10:07,          2.667,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:04,2013/08/04T18:10:11,          2.714,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:04,2013/08/04T18:10:12,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:05,2013/08/04T18:10:49,          0.091,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:05,2013/08/04T18:11:02,          0.070,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:06,2013/08/04T18:10:06,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:07,2013/08/04T18:10:07,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:11,2013/08/04T18:10:11,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:17,2013/08/04T18:10:17,          4.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:17,2013/08/04T18:10:22,          0.400,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:18,2013/08/04T18:10:18,          4.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:19,2013/08/04T18:10:19,         91.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:20,2013/08/04T18:10:20,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:20,2013/08/04T18:11:17,          0.053,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:21,2013/08/04T18:10:21,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:21,2013/08/04T18:11:20,          0.034,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:25,2013/08/04T18:10:25,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:36,2013/08/04T18:10:36,          8.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:38,2013/08/04T18:10:38,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:39,2013/08/04T18:11:18,          0.051,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:39,2013/08/04T18:11:26,          0.043,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:42,2013/08/04T18:10:52,          0.300,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:42,2013/08/04T18:11:52,          0.057,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:43,2013/08/04T18:10:48,          0.800,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:44,2013/08/04T18:10:44,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:45,2013/08/04T18:10:45,          3.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:47,2013/08/04T18:10:47,          3.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:48,2013/08/04T18:10:48,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:48,2013/08/04T18:10:51,         55.667,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:48,2013/08/04T18:10:53,          0.600,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:49,2013/08/04T18:10:49,         15.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:49,2013/08/04T18:10:54,          0.600,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:49,2013/08/04T18:10:58,         10.389,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:50,2013/08/04T18:10:56,          0.500,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:50,2013/08/04T18:10:57,          4.714,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:51,2013/08/04T18:10:56,          0.800,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:53,2013/08/04T18:10:53,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:54,2013/08/04T18:10:55,          4.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:57,2013/08/04T18:10:58,          7.500,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:10:58,2013/08/04T18:10:58,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:00,2013/08/04T18:12:04,          0.063,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:01,2013/08/04T18:11:58,          0.053,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:02,2013/08/04T18:11:02,          5.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:09,2013/08/04T18:11:09,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:10,2013/08/04T18:11:15,          0.600,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:11,2013/08/04T18:11:20,          3.944,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:12,2013/08/04T18:11:12,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:12,2013/08/04T18:11:23,          0.273,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:13,2013/08/04T18:11:13,          4.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:13,2013/08/04T18:11:19,          0.333,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:14,2013/08/04T18:12:05,          0.039,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:15,2013/08/04T18:11:15,         15.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:16,2013/08/04T18:11:16,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:17,2013/08/04T18:11:17,          3.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:17,2013/08/04T18:11:19,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:18,2013/08/04T18:11:18,          3.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:18,2013/08/04T18:11:20,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:18,2013/08/04T18:11:28,          0.300,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:19,2013/08/04T18:11:19,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:19,2013/08/04T18:11:29,          0.200,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:20,2013/08/04T18:11:20,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:24,2013/08/04T18:11:24,          6.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:26,2013/08/04T18:11:26,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:27,2013/08/04T18:11:27,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:28,2013/08/04T18:11:28,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:28,2013/08/04T18:11:33,          0.700,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:30,2013/08/04T18:11:40,          0.300,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:32,2013/08/04T18:11:32,          6.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:32,2013/08/04T18:11:37,          0.800,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:33,2013/08/04T18:11:33,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:33,2013/08/04T18:12:25,          0.038,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:34,2013/08/04T18:11:34,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:34,2013/08/04T18:11:40,          0.500,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:34,2013/08/04T18:11:42,         11.750,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:34,2013/08/04T18:12:30,          0.089,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:35,2013/08/04T18:12:32,          0.035,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:35,2013/08/04T18:12:35,          0.033,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:36,2013/08/04T18:12:59,          0.036,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:37,2013/08/04T18:11:37,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:37,2013/08/04T18:11:42,          0.600,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:42,2013/08/04T18:11:42,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:42,2013/08/04T18:11:43,          2.500,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:45,2013/08/04T18:11:50,          0.800,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:49,2013/08/04T18:11:49,          8.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:50,2013/08/04T18:12:00,          0.300,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:51,2013/08/04T18:11:51,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:51,2013/08/04T18:11:56,          0.600,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:52,2013/08/04T18:11:52,          3.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:54,2013/08/04T18:11:54,         18.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:54,2013/08/04T18:12:05,          0.273,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:56,2013/08/04T18:12:05,          1.778,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:57,2013/08/04T18:11:57,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:58,2013/08/04T18:11:58,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:11:59,2013/08/04T18:12:05,          0.500,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:01,2013/08/04T18:12:02,          6.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:02,2013/08/04T18:12:02,          4.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:04,2013/08/04T18:12:04,          3.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:04,2013/08/04T18:12:58,          0.074,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:05,2013/08/04T18:12:05,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:10,2013/08/04T18:12:15,          0.600,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:12,2013/08/04T18:13:15,          0.063,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:15,2013/08/04T18:12:26,          0.182,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:15,2013/08/04T18:13:13,          0.069,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:17,2013/08/04T18:12:22,          0.600,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:20,2013/08/04T18:12:20,          6.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:20,2013/08/04T18:12:27,          6.057,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:24,2013/08/04T18:13:34,          0.057,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:25,2013/08/04T18:12:25,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:25,2013/08/04T18:12:46,          0.524,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:26,2013/08/04T18:12:27,          7.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:27,2013/08/04T18:12:29,         16.500,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:31,2013/08/04T18:13:33,          0.065,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:32,2013/08/04T18:12:32,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:32,2013/08/04T18:12:37,          0.600,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:32,2013/08/04T18:12:42,          0.300,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:35,2013/08/04T18:12:35,          1.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:36,2013/08/04T18:12:36,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:36,2013/08/04T18:12:41,          0.600,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:37,2013/08/04T18:12:37,          8.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:41,2013/08/04T18:12:48,         19.714,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:41,2013/08/04T18:12:49,          1.625,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:41,2013/08/04T18:12:50,          5.074,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:42,2013/08/04T18:12:52,          0.300,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:45,2013/08/04T18:12:51,          0.500,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:46,2013/08/04T18:12:46,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:50,2013/08/04T18:12:50,          6.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:52,2013/08/04T18:13:02,          0.200,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:53,2013/08/04T18:13:47,          0.074,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:54,2013/08/04T18:12:54,          2.000,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:54,2013/08/04T18:13:04,          0.300,
                              10.5.15.2,                               10.5.5.2,2013/08/04T18:12:54,2013/08/04T18:13:48,          0.074,
