                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:18,2013/08/04T18:09:18,         21.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:18,2013/08/04T18:09:23,          0.600,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:18,2013/08/04T18:10:18,          0.033,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:19,2013/08/04T18:09:19,          2.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:19,2013/08/04T18:10:18,          0.034,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:20,2013/08/04T18:09:28,          3.375,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:20,2013/08/04T18:09:30,          1.100,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:20,2013/08/04T18:13:23,          0.025,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:21,2013/08/04T18:09:22,          2.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:21,2013/08/04T18:09:28,          2.429,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:23,2013/08/04T18:09:33,          0.300,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:24,2013/08/04T18:09:24,          2.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:24,2013/08/04T18:10:17,          0.038,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:27,2013/08/04T18:09:27,          5.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:28,2013/08/04T18:09:34,          0.333,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:30,2013/08/04T18:09:30,          2.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:30,2013/08/04T18:09:31,          1.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:31,2013/08/04T18:09:36,          0.600,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:32,2013/08/04T18:09:32,          4.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:33,2013/08/04T18:09:33,          2.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:34,2013/08/04T18:09:44,          0.300,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:35,2013/08/04T18:09:35,          2.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:36,2013/08/04T18:09:36,          4.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:37,2013/08/04T18:09:37,         14.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:37,2013/08/04T18:11:37,          0.033,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:38,2013/08/04T18:10:38,          0.067,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:39,2013/08/04T18:09:39,          3.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:40,2013/08/04T18:09:40,          2.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:41,2013/08/04T18:09:41,         13.000,
                              10.5.15.2,                              10.5.17.2,2013/08/04T18:09:42,2013/08/04T18:09:50,          3.958,
