                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:19,2013/08/04T18:10:17,          0.034,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:20,2013/08/04T18:09:20,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:20,2013/08/04T18:09:28,          7.563,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:21,2013/08/04T18:09:28,          5.429,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:21,2013/08/04T18:09:31,          0.200,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:22,2013/08/04T18:09:22,          4.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:24,2013/08/04T18:09:24,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:25,2013/08/04T18:09:25,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:27,2013/08/04T18:09:27,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:27,2013/08/04T18:09:32,          0.600,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:28,2013/08/04T18:09:28,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:28,2013/08/04T18:09:34,          0.333,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:30,2013/08/04T18:09:30,         17.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:31,2013/08/04T18:09:41,          0.300,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:32,2013/08/04T18:09:32,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:32,2013/08/04T18:09:42,          0.300,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:33,2013/08/04T18:09:33,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:34,2013/08/04T18:09:39,          0.800,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:36,2013/08/04T18:09:36,         14.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:37,2013/08/04T18:09:37,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:38,2013/08/04T18:09:58,          0.550,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:39,2013/08/04T18:09:42,          2.333,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:39,2013/08/04T18:09:44,          0.600,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:41,2013/08/04T18:09:51,          0.300,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:42,2013/08/04T18:09:42,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:42,2013/08/04T18:09:50,          4.900,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:42,2013/08/04T18:09:53,          0.273,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:42,2013/08/04T18:09:56,          2.714,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:44,2013/08/04T18:09:44,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:44,2013/08/04T18:09:49,          0.600,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:46,2013/08/04T18:09:46,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:47,2013/08/04T18:09:48,          8.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:47,2013/08/04T18:09:53,          0.667,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:48,2013/08/04T18:09:54,          0.500,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:49,2013/08/04T18:09:49,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:51,2013/08/04T18:09:51,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:52,2013/08/04T18:09:52,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:52,2013/08/04T18:10:43,          0.078,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:54,2013/08/04T18:09:59,          0.600,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:56,2013/08/04T18:09:56,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:56,2013/08/04T18:11:00,          0.063,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:57,2013/08/04T18:10:02,          0.600,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:09:57,2013/08/04T18:10:07,          0.300,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:00,2013/08/04T18:10:00,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:01,2013/08/04T18:10:01,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:01,2013/08/04T18:10:06,          0.800,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:02,2013/08/04T18:10:02,          7.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:04,2013/08/04T18:10:04,          1.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:04,2013/08/04T18:10:12,          3.250,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:05,2013/08/04T18:10:05,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:07,2013/08/04T18:10:07,          1.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:11,2013/08/04T18:10:15,          0.500,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:12,2013/08/04T18:10:12,          1.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:16,2013/08/04T18:10:16,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:16,2013/08/04T18:10:17,         16.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:17,2013/08/04T18:10:17,          3.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:17,2013/08/04T18:11:54,          0.031,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:18,2013/08/04T18:10:23,        137.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:19,2013/08/04T18:10:19,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:19,2013/08/04T18:10:24,          0.400,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:20,2013/08/04T18:10:20,          1.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:20,2013/08/04T18:10:25,          0.400,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:21,2013/08/04T18:10:21,          3.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:22,2013/08/04T18:10:23,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:23,2013/08/04T18:10:23,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:23,2013/08/04T18:10:24,          3.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:25,2013/08/04T18:10:25,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:36,2013/08/04T18:10:41,          0.400,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:37,2013/08/04T18:10:38,          1.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:37,2013/08/04T18:11:34,          0.035,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:38,2013/08/04T18:10:39,          1.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:38,2013/08/04T18:11:46,          0.059,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:39,2013/08/04T18:10:39,          4.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:39,2013/08/04T18:10:49,          0.300,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:40,2013/08/04T18:10:45,          0.600,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:41,2013/08/04T18:11:39,          0.069,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:42,2013/08/04T18:10:42,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:42,2013/08/04T18:11:40,          0.069,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:42,2013/08/04T18:12:01,          0.051,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:43,2013/08/04T18:10:43,          1.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:47,2013/08/04T18:10:47,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:48,2013/08/04T18:11:50,          0.065,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:48,2013/08/04T18:11:55,          0.060,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:49,2013/08/04T18:10:49,          1.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:49,2013/08/04T18:10:50,          5.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:49,2013/08/04T18:10:57,          9.250,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:49,2013/08/04T18:10:58,          9.111,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:50,2013/08/04T18:10:51,          4.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:52,2013/08/04T18:10:52,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:53,2013/08/04T18:11:49,          0.054,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:53,2013/08/04T18:11:59,          0.045,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:58,2013/08/04T18:10:58,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:10:59,2013/08/04T18:10:59,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:00,2013/08/04T18:11:00,          1.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:01,2013/08/04T18:11:01,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:08,2013/08/04T18:11:13,          0.800,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:08,2013/08/04T18:11:18,         62.800,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:11,2013/08/04T18:11:20,          2.778,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:12,2013/08/04T18:11:12,          1.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:12,2013/08/04T18:12:06,          0.074,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:13,2013/08/04T18:11:13,          1.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:13,2013/08/04T18:11:20,          5.571,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:14,2013/08/04T18:11:15,          8.500,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:18,2013/08/04T18:11:18,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:20,2013/08/04T18:11:20,         21.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:21,2013/08/04T18:11:21,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:21,2013/08/04T18:11:31,          0.300,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:21,2013/08/04T18:12:16,          0.055,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:21,2013/08/04T18:12:26,          0.046,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:22,2013/08/04T18:11:22,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:24,2013/08/04T18:11:24,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:26,2013/08/04T18:11:26,          2.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:26,2013/08/04T18:12:30,          0.063,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:28,2013/08/04T18:12:27,          0.068,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:31,2013/08/04T18:12:02,          0.097,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:31,2013/08/04T18:12:37,          0.045,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:33,2013/08/04T18:11:33,          1.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:34,2013/08/04T18:11:34,          1.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:34,2013/08/04T18:11:42,          5.375,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:34,2013/08/04T18:11:43,          4.556,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:34,2013/08/04T18:11:55,         30.857,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:35,2013/08/04T18:11:35,          3.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:35,2013/08/04T18:11:45,          0.300,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:35,2013/08/04T18:12:28,          0.038,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:36,2013/08/04T18:11:36,          8.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:37,2013/08/04T18:11:40,         20.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:37,2013/08/04T18:11:42,          0.800,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:38,2013/08/04T18:11:44,          0.500,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:39,2013/08/04T18:11:39,          3.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:40,2013/08/04T18:11:40,          1.000,
                              10.5.15.2,                               10.5.4.2,2013/08/04T18:11:43,2013/08/04T18:11:43,          2.000,
