                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:16,2013/08/04T18:09:16,          1.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:16,2013/08/04T18:13:49,        110.154,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:19,2013/08/04T18:09:19,          4.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:20,2013/08/04T18:09:28,          6.925,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:20,2013/08/04T18:09:30,          0.300,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:20,2013/08/04T18:10:18,          0.069,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:21,2013/08/04T18:09:22,          4.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:21,2013/08/04T18:10:17,          0.036,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:22,2013/08/04T18:09:22,          3.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:24,2013/08/04T18:10:16,          0.038,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:24,2013/08/04T18:10:19,          0.036,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:25,2013/08/04T18:09:35,          0.300,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:27,2013/08/04T18:09:27,          1.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:31,2013/08/04T18:09:31,          2.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:33,2013/08/04T18:09:33,          2.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:33,2013/08/04T18:09:38,          0.600,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:34,2013/08/04T18:09:34,          4.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:35,2013/08/04T18:09:35,         13.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:35,2013/08/04T18:10:41,          0.045,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:36,2013/08/04T18:09:39,         70.667,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:36,2013/08/04T18:09:46,          0.300,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:36,2013/08/04T18:10:40,          0.047,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:38,2013/08/04T18:09:38,          4.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:39,2013/08/04T18:09:44,          0.600,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:41,2013/08/04T18:09:41,         20.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:41,2013/08/04T18:09:51,          0.300,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:42,2013/08/04T18:09:50,          8.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:42,2013/08/04T18:09:51,          3.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:45,2013/08/04T18:09:45,          2.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:49,2013/08/04T18:09:55,          0.333,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:50,2013/08/04T18:09:52,          8.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:52,2013/08/04T18:09:52,         16.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:52,2013/08/04T18:09:53,         15.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:53,2013/08/04T18:09:54,          3.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:09:59,2013/08/04T18:11:30,          0.044,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:01,2013/08/04T18:10:02,          7.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:01,2013/08/04T18:10:11,          0.300,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:02,2013/08/04T18:10:12,          0.300,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:03,2013/08/04T18:10:04,          3.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:04,2013/08/04T18:10:06,          2.500,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:04,2013/08/04T18:10:11,          2.286,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:04,2013/08/04T18:10:12,          2.563,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:04,2013/08/04T18:10:59,          0.055,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:05,2013/08/04T18:10:11,          0.667,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:16,2013/08/04T18:10:16,          3.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:16,2013/08/04T18:12:01,          0.038,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:17,2013/08/04T18:10:17,          3.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:17,2013/08/04T18:11:13,          0.054,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:18,2013/08/04T18:10:18,          2.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:19,2013/08/04T18:10:19,          4.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:19,2013/08/04T18:11:21,          0.048,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:20,2013/08/04T18:11:22,          0.032,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:22,2013/08/04T18:10:22,          5.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:22,2013/08/04T18:11:13,          0.059,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:26,2013/08/04T18:10:26,          5.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:38,2013/08/04T18:10:48,          0.300,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:38,2013/08/04T18:11:27,          0.082,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:39,2013/08/04T18:10:49,          0.300,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:40,2013/08/04T18:10:40,          3.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:40,2013/08/04T18:10:42,          1.500,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:40,2013/08/04T18:10:45,          0.600,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:41,2013/08/04T18:10:41,         13.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:41,2013/08/04T18:10:46,          0.800,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:41,2013/08/04T18:10:51,          0.300,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:43,2013/08/04T18:10:45,        385.500,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:45,2013/08/04T18:10:45,          3.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:48,2013/08/04T18:10:48,          6.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:48,2013/08/04T18:10:53,          0.600,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:49,2013/08/04T18:10:57,         16.750,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:49,2013/08/04T18:10:59,          1.900,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:51,2013/08/04T18:10:51,          2.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:51,2013/08/04T18:11:01,          0.300,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:52,2013/08/04T18:10:52,          6.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:55,2013/08/04T18:10:55,          9.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:55,2013/08/04T18:10:56,         11.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:56,2013/08/04T18:10:56,          2.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:57,2013/08/04T18:10:57,          2.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:57,2013/08/04T18:10:58,          3.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:57,2013/08/04T18:11:01,         53.250,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:57,2013/08/04T18:12:02,          0.046,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:58,2013/08/04T18:10:59,          6.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:10:59,2013/08/04T18:10:59,          3.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:11:01,2013/08/04T18:11:01,          4.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:11:04,2013/08/04T18:11:04,         15.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:11:04,2013/08/04T18:12:03,          0.051,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:11:09,2013/08/04T18:11:09,          8.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:11:09,2013/08/04T18:11:14,          0.400,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:11:11,2013/08/04T18:11:20,          3.222,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:11:11,2013/08/04T18:11:21,          1.400,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:11:12,2013/08/04T18:11:12,          2.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:11:13,2013/08/04T18:11:13,          2.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:11:13,2013/08/04T18:11:21,          1.875,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:11:14,2013/08/04T18:11:14,          2.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:11:16,2013/08/04T18:11:16,          3.000,
                              10.5.15.2,                              10.5.12.2,2013/08/04T18:11:21,2013/08/04T18:11:21,          3.000,
