                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:18,2013/08/04T18:10:03,          0.067,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:19,2013/08/04T18:09:19,          1.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:20,2013/08/04T18:09:20,          2.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:20,2013/08/04T18:09:22,          1.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:20,2013/08/04T18:09:28,          2.813,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:20,2013/08/04T18:09:30,          0.300,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:21,2013/08/04T18:09:21,          2.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:21,2013/08/04T18:09:22,          2.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:22,2013/08/04T18:09:22,          1.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:22,2013/08/04T18:10:01,          0.103,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:24,2013/08/04T18:09:34,          0.200,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:25,2013/08/04T18:09:25,          1.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:27,2013/08/04T18:09:27,          5.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:30,2013/08/04T18:09:30,          4.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:31,2013/08/04T18:09:31,          2.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:31,2013/08/04T18:09:41,          0.300,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:32,2013/08/04T18:09:32,         12.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:33,2013/08/04T18:09:43,          0.300,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:35,2013/08/04T18:09:35,         14.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:35,2013/08/04T18:09:41,          0.500,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:36,2013/08/04T18:09:36,          2.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:36,2013/08/04T18:09:46,          0.300,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:37,2013/08/04T18:09:37,          2.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:38,2013/08/04T18:09:39,         14.000,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:39,2013/08/04T18:10:23,          0.045,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:41,2013/08/04T18:09:47,          0.667,
                              10.5.15.2,                               10.5.8.2,2013/08/04T18:09:42,2013/08/04T18:09:42,         11.000,
