                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:14,2013/08/04T19:49:22,          0.250,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:14,2013/08/04T19:49:23,         34.222,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:14,2013/08/04T19:49:50,         14.806,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:15,2013/08/04T19:49:24,          2.222,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:17,2013/08/04T19:49:27,         23.400,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:20,2013/08/04T19:49:29,          2.444,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:21,2013/08/04T19:49:21,         13.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:21,2013/08/04T19:49:28,          4.571,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:22,2013/08/04T19:49:22,          2.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:24,2013/08/04T19:49:24,          2.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:26,2013/08/04T19:49:36,         22.900,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:29,2013/08/04T19:49:29,          1.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:33,2013/08/04T19:49:43,         39.600,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:34,2013/08/04T19:49:44,         36.500,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:38,2013/08/04T19:49:40,          3.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:38,2013/08/04T19:49:55,          0.529,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:40,2013/08/04T19:50:00,          1.050,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:42,2013/08/04T19:49:42,         20.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:42,2013/08/04T19:50:02,         14.950,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:43,2013/08/04T19:49:43,         11.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:45,2013/08/04T19:49:56,          1.909,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:48,2013/08/04T19:49:53,          1.800,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:49,2013/08/04T19:49:50,         14.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:50,2013/08/04T19:49:50,          1.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:50,2013/08/04T19:50:00,         13.200,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:53,2013/08/04T19:49:53,          3.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:54,2013/08/04T19:50:11,         31.294,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:56,2013/08/04T19:49:56,          2.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:49:59,2013/08/04T19:50:09,         19.900,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:05,2013/08/04T19:50:15,         47.700,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:06,2013/08/04T19:50:06,         17.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:06,2013/08/04T19:50:23,         28.176,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:07,2013/08/04T19:50:14,          2.571,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:07,2013/08/04T19:50:17,         48.900,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:08,2013/08/04T19:50:17,         34.667,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:09,2013/08/04T19:50:19,         31.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:10,2013/08/04T19:50:20,         18.950,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:14,2013/08/04T19:50:14,          1.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:17,2013/08/04T19:50:17,          1.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:17,2013/08/04T19:50:27,          1.500,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:20,2013/08/04T19:50:20,          2.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:25,2013/08/04T19:50:31,          3.500,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:27,2013/08/04T19:50:37,          0.600,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:28,2013/08/04T19:50:35,          2.857,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:31,2013/08/04T19:50:31,          2.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:32,2013/08/04T19:50:33,         10.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:33,2013/08/04T19:50:33,          1.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:35,2013/08/04T19:50:35,          2.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:37,2013/08/04T19:50:59,         25.545,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:40,2013/08/04T19:50:50,          0.500,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:41,2013/08/04T19:50:51,          0.500,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:42,2013/08/04T19:50:52,          0.600,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:45,2013/08/04T19:50:46,          9.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:46,2013/08/04T19:50:47,          9.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:47,2013/08/04T19:50:47,          1.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:48,2013/08/04T19:50:58,          0.700,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:52,2013/08/04T19:50:52,         11.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:53,2013/08/04T19:50:53,         22.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:55,2013/08/04T19:51:05,          0.600,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:57,2013/08/04T19:50:57,         12.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:58,2013/08/04T19:50:58,         11.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:59,2013/08/04T19:51:38,         21.179,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:50:59,2013/08/04T19:52:00,          8.000,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:51:00,2013/08/04T19:51:08,          2.500,
                              10.5.18.2,                              10.5.15.2,2013/08/04T19:51:00,2013/08/04T19:51:47,         16.447,
