                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:15,2013/08/04T19:49:15,          2.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:15,2013/08/04T19:49:17,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:15,2013/08/04T19:49:27,          5.500,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:16,2013/08/04T19:49:16,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:17,2013/08/04T19:49:17,          2.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:22,2013/08/04T19:49:35,          1.615,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:25,2013/08/04T19:49:35,         30.400,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:29,2013/08/04T19:49:39,          2.100,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:34,2013/08/04T19:50:03,          1.586,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:35,2013/08/04T19:49:35,          2.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:35,2013/08/04T19:49:45,          7.700,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:38,2013/08/04T19:50:02,          0.542,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:40,2013/08/04T19:49:45,          6.400,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:42,2013/08/04T19:49:42,          6.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:43,2013/08/04T19:49:57,          1.643,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:44,2013/08/04T19:49:54,         25.500,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:44,2013/08/04T19:50:01,         19.647,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:45,2013/08/04T19:49:45,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:46,2013/08/04T19:49:46,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:48,2013/08/04T19:49:58,         19.900,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:49,2013/08/04T19:49:49,         12.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:50,2013/08/04T19:50:00,          1.900,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:57,2013/08/04T19:49:57,          6.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:58,2013/08/04T19:50:07,          2.333,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:49:58,2013/08/04T19:50:08,         18.600,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:00,2013/08/04T19:50:56,         13.804,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:04,2013/08/04T19:50:34,          1.633,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:07,2013/08/04T19:50:07,          2.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:08,2013/08/04T19:50:21,          1.462,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:09,2013/08/04T19:50:16,         76.714,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:10,2013/08/04T19:50:12,          3.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:25,2013/08/04T19:50:25,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:28,2013/08/04T19:50:28,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:29,2013/08/04T19:50:30,         11.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:30,2013/08/04T19:50:30,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:32,2013/08/04T19:50:32,         11.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:36,2013/08/04T19:50:37,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:37,2013/08/04T19:50:37,         18.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:37,2013/08/04T19:50:47,          0.500,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:38,2013/08/04T19:50:39,         11.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:39,2013/08/04T19:50:39,         12.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:40,2013/08/04T19:50:52,          0.333,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:41,2013/08/04T19:50:59,          0.611,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:44,2013/08/04T19:50:54,          0.550,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:45,2013/08/04T19:50:47,          5.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:46,2013/08/04T19:50:56,          0.600,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:47,2013/08/04T19:50:47,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:48,2013/08/04T19:50:58,          0.600,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:50,2013/08/04T19:50:50,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:50,2013/08/04T19:50:51,         11.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:51,2013/08/04T19:50:51,         12.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:52,2013/08/04T19:50:53,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:53,2013/08/04T19:50:59,          2.250,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:55,2013/08/04T19:51:05,          0.600,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:56,2013/08/04T19:50:57,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:57,2013/08/04T19:50:57,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:57,2013/08/04T19:51:04,          5.143,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:58,2013/08/04T19:51:08,          0.600,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:58,2013/08/04T19:51:12,          0.500,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:50:59,2013/08/04T19:51:00,          6.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:00,2013/08/04T19:51:00,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:02,2013/08/04T19:51:09,          3.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:05,2013/08/04T19:51:05,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:07,2013/08/04T19:51:09,        116.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:07,2013/08/04T19:51:17,          0.600,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:09,2013/08/04T19:51:09,          2.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:09,2013/08/04T19:51:19,          0.600,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:11,2013/08/04T19:51:11,         17.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:17,2013/08/04T19:51:18,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:17,2013/08/04T19:51:19,          3.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:18,2013/08/04T19:51:20,         51.500,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:19,2013/08/04T19:51:29,          0.600,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:20,2013/08/04T19:51:20,         12.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:20,2013/08/04T19:51:29,          2.444,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:21,2013/08/04T19:51:31,          0.600,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:22,2013/08/04T19:51:39,          1.176,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:24,2013/08/04T19:51:24,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:25,2013/08/04T19:51:25,          7.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:25,2013/08/04T19:51:26,          9.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:26,2013/08/04T19:51:26,         12.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:29,2013/08/04T19:51:29,          2.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:30,2013/08/04T19:51:43,          1.538,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:33,2013/08/04T19:51:34,          5.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:34,2013/08/04T19:51:35,         10.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:35,2013/08/04T19:51:35,          5.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:36,2013/08/04T19:51:36,          1.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:37,2013/08/04T19:52:00,         20.522,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:39,2013/08/04T19:51:39,          2.000,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:39,2013/08/04T19:51:46,          1.429,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:39,2013/08/04T19:51:49,          0.600,
                              10.5.18.2,                               10.5.1.2,2013/08/04T19:51:41,2013/08/04T19:51:41,         11.000,
