                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:14,2013/08/04T19:49:14,          1.000,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:14,2013/08/04T19:49:15,         11.000,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:14,2013/08/04T19:49:18,         33.500,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:15,2013/08/04T19:49:24,          2.333,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:19,2013/08/04T19:49:29,         56.500,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:21,2013/08/04T19:49:38,         26.529,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:24,2013/08/04T19:49:24,          2.000,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:29,2013/08/04T19:49:39,         38.900,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:32,2013/08/04T19:49:42,          2.200,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:35,2013/08/04T19:49:35,          9.000,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:35,2013/08/04T19:50:03,         26.071,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:41,2013/08/04T19:49:49,          2.125,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:47,2013/08/04T19:49:50,          2.667,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:49,2013/08/04T19:49:59,         46.200,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:49,2013/08/04T19:50:00,          1.818,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:50,2013/08/04T19:49:50,          3.000,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:54,2013/08/04T19:50:03,          0.444,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:57,2013/08/04T19:49:58,         11.000,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:57,2013/08/04T19:50:10,          1.538,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:58,2013/08/04T19:49:58,          2.000,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:58,2013/08/04T19:50:08,         55.400,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:49:59,2013/08/04T19:50:09,         17.400,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:50:02,2013/08/04T19:50:02,         12.000,
                              10.5.18.2,                               10.5.6.2,2013/08/04T19:50:02,2013/08/04T19:50:11,          2.556,
