                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:14,2013/08/04T19:49:16,         26.500,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:14,2013/08/04T19:49:19,         84.600,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:14,2013/08/04T19:49:22,          1.875,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:14,2013/08/04T19:49:25,          1.818,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:14,2013/08/04T19:49:26,          3.250,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:15,2013/08/04T19:49:26,          1.409,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:16,2013/08/04T19:49:16,          2.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:17,2013/08/04T19:49:17,          3.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:19,2013/08/04T19:49:19,          1.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:21,2013/08/04T19:49:21,         18.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:22,2013/08/04T19:49:22,          2.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:25,2013/08/04T19:49:25,          2.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:26,2013/08/04T19:49:26,          2.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:27,2013/08/04T19:49:27,          7.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:27,2013/08/04T19:49:35,          2.625,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:27,2013/08/04T19:49:37,         10.500,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:28,2013/08/04T19:49:29,          6.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:28,2013/08/04T19:49:32,          3.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:28,2013/08/04T19:49:35,          2.857,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:30,2013/08/04T19:49:52,          0.864,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:32,2013/08/04T19:49:32,         13.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:33,2013/08/04T19:49:33,          4.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:33,2013/08/04T19:49:34,         10.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:35,2013/08/04T19:49:35,          4.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:35,2013/08/04T19:49:45,         27.500,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:36,2013/08/04T19:49:52,         28.250,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:37,2013/08/04T19:49:47,         50.500,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:38,2013/08/04T19:49:48,         32.800,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:41,2013/08/04T19:49:42,          7.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:42,2013/08/04T19:49:42,          1.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:44,2013/08/04T19:50:00,          1.313,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:45,2013/08/04T19:49:47,        389.500,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:47,2013/08/04T19:49:47,          2.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:47,2013/08/04T19:50:00,          1.154,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:51,2013/08/04T19:50:00,          2.333,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:52,2013/08/04T19:49:52,          9.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:54,2013/08/04T19:49:55,          9.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:54,2013/08/04T19:50:00,          2.167,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:55,2013/08/04T19:49:55,          1.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:56,2013/08/04T19:50:06,         27.900,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:57,2013/08/04T19:49:57,         13.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:57,2013/08/04T19:50:06,        223.333,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:57,2013/08/04T19:50:07,         39.600,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:49:57,2013/08/04T19:50:46,         15.061,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:50:00,2013/08/04T19:50:11,         25.818,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:50:01,2013/08/04T19:50:36,         22.057,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:50:02,2013/08/04T19:50:02,          1.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:50:03,2013/08/04T19:50:03,          5.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:50:04,2013/08/04T19:50:14,         27.900,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:50:06,2013/08/04T19:50:07,         12.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:50:07,2013/08/04T19:50:17,         28.600,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:50:08,2013/08/04T19:50:20,          1.667,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:50:13,2013/08/04T19:50:13,         12.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:50:20,2013/08/04T19:50:20,          2.000,
                              10.5.18.2,                               10.5.2.2,2013/08/04T19:50:22,2013/08/04T19:50:23,         10.000,
