                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:14,2013/08/04T19:49:17,         36.667,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:14,2013/08/04T19:49:18,         28.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:16,2013/08/04T19:49:26,         35.500,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:17,2013/08/04T19:49:17,          3.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:17,2013/08/04T19:49:27,          1.700,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:19,2013/08/04T19:49:19,          1.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:19,2013/08/04T19:49:35,         41.250,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:20,2013/08/04T19:49:25,          1.200,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:21,2013/08/04T19:49:29,          2.625,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:25,2013/08/04T19:49:25,          1.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:27,2013/08/04T19:49:27,          2.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:27,2013/08/04T19:49:37,         31.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:29,2013/08/04T19:49:29,          2.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:30,2013/08/04T19:49:40,         21.800,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:32,2013/08/04T19:49:33,         10.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:33,2013/08/04T19:49:33,          1.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:34,2013/08/04T19:49:45,          1.909,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:40,2013/08/04T19:49:41,          5.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:40,2013/08/04T19:49:59,         20.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:43,2013/08/04T19:49:44,          8.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:45,2013/08/04T19:49:55,         34.800,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:47,2013/08/04T19:49:58,         34.182,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:50,2013/08/04T19:50:00,         17.450,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:55,2013/08/04T19:50:05,          2.100,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:59,2013/08/04T19:50:01,         69.500,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:49:59,2013/08/04T19:50:06,         50.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:50:00,2013/08/04T19:50:01,          9.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:50:00,2013/08/04T19:50:10,         39.600,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:50:00,2013/08/04T19:50:42,         18.405,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:50:01,2013/08/04T19:50:01,          1.000,
                              10.5.18.2,                              10.5.10.2,2013/08/04T19:50:05,2013/08/04T19:50:05,          2.000,
