                              10.5.18.2,                               10.5.5.2,2013/08/04T21:05:59,2013/08/04T21:07:59,          0.017,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:15,2013/08/04T19:49:28,          1.615,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:16,2013/08/04T19:49:16,          3.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:17,2013/08/04T19:49:19,          2.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:21,2013/08/04T19:49:21,          9.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:22,2013/08/04T19:49:22,          3.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:23,2013/08/04T19:49:23,          2.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:24,2013/08/04T19:49:30,          1.167,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:25,2013/08/04T19:49:25,          7.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:26,2013/08/04T19:53:26,          0.021,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:27,2013/08/04T19:49:54,          0.185,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:28,2013/08/04T19:49:28,          1.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:28,2013/08/04T19:49:38,         23.600,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:30,2013/08/04T19:49:30,          4.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:35,2013/08/04T19:49:36,          8.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:38,2013/08/04T19:49:48,         35.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:39,2013/08/04T19:49:49,         11.800,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:40,2013/08/04T19:49:53,          1.615,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:51,2013/08/04T19:50:00,          2.333,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:53,2013/08/04T19:49:53,          2.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:53,2013/08/04T19:50:04,          2.909,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:57,2013/08/04T19:49:57,          8.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:49:58,2013/08/04T19:50:08,         22.367,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:00,2013/08/04T19:50:10,         29.200,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:01,2013/08/04T19:50:17,         17.500,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:01,2013/08/04T19:50:41,         19.375,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:02,2013/08/04T19:50:02,          4.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:06,2013/08/04T19:50:07,          7.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:07,2013/08/04T19:50:07,          1.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:08,2013/08/04T19:50:08,          2.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:13,2013/08/04T19:50:18,          1.400,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:15,2013/08/04T19:50:17,        392.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:15,2013/08/04T19:50:20,          1.600,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:17,2013/08/04T19:50:27,          0.500,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:18,2013/08/04T19:50:18,          4.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:18,2013/08/04T19:50:26,          2.625,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:20,2013/08/04T19:50:20,         20.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:20,2013/08/04T19:50:30,          0.600,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:21,2013/08/04T19:50:21,          2.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:24,2013/08/04T19:50:24,          7.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:25,2013/08/04T19:50:25,          9.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:25,2013/08/04T19:50:32,          3.143,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:26,2013/08/04T19:50:26,          2.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:28,2013/08/04T19:50:34,          0.833,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:29,2013/08/04T19:50:30,         10.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:29,2013/08/04T19:50:36,          3.714,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:30,2013/08/04T19:50:30,          1.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:30,2013/08/04T19:50:40,          0.600,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:31,2013/08/04T19:50:38,          2.857,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:32,2013/08/04T19:50:43,          1.909,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:33,2013/08/04T19:50:34,          5.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:34,2013/08/04T19:50:44,          0.700,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:34,2013/08/04T19:50:51,          1.235,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:35,2013/08/04T19:50:36,         44.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:36,2013/08/04T19:50:47,          0.636,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:38,2013/08/04T19:50:38,          2.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:38,2013/08/04T19:50:48,          0.600,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:41,2013/08/04T19:50:41,          1.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:41,2013/08/04T19:50:44,          2.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:42,2013/08/04T19:50:42,         12.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:43,2013/08/04T19:50:43,          2.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:43,2013/08/04T19:50:54,          0.636,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:44,2013/08/04T19:50:44,          1.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:46,2013/08/04T19:50:59,         22.308,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:46,2013/08/04T19:51:01,         14.600,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:47,2013/08/04T19:50:48,         11.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:47,2013/08/04T19:50:49,          5.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:48,2013/08/04T19:50:48,         12.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:49,2013/08/04T19:50:49,          1.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:49,2013/08/04T19:50:50,         10.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:50,2013/08/04T19:50:59,          0.778,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:51,2013/08/04T19:50:51,          2.000,
                              10.5.18.2,                               10.5.5.2,2013/08/04T19:50:54,2013/08/04T19:50:54,         11.000,
