                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:14,2013/08/04T19:49:15,         34.000,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:14,2013/08/04T19:49:20,          0.667,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:22,2013/08/04T19:49:22,          1.000,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:25,2013/08/04T19:50:01,         10.750,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:26,2013/08/04T19:49:36,         26.900,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:28,2013/08/04T19:49:44,         37.188,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:32,2013/08/04T19:49:40,          2.875,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:33,2013/08/04T19:49:44,          1.909,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:35,2013/08/04T19:49:36,          7.500,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:36,2013/08/04T19:49:36,          5.000,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:37,2013/08/04T19:49:56,          1.211,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:41,2013/08/04T19:49:53,          1.750,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:42,2013/08/04T19:49:42,         19.000,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:44,2013/08/04T19:49:44,          2.000,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:47,2013/08/04T19:49:47,          9.000,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:52,2013/08/04T19:49:55,        254.667,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:53,2013/08/04T19:49:53,          1.000,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:53,2013/08/04T19:50:00,          1.714,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:55,2013/08/04T19:49:55,          1.000,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:57,2013/08/04T19:50:07,         32.800,
                              10.5.18.2,                              10.5.11.2,2013/08/04T19:49:58,2013/08/04T19:50:01,         67.333,
