                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:14,2013/08/04T19:49:15,        164.000,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:14,2013/08/04T19:49:23,         33.889,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:15,2013/08/04T19:49:21,          5.833,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:15,2013/08/04T19:49:27,          1.750,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:17,2013/08/04T19:49:17,          1.000,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:17,2013/08/04T19:49:19,         29.000,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:17,2013/08/04T19:49:27,         49.100,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:17,2013/08/04T19:49:33,         34.438,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:20,2013/08/04T19:49:31,          3.545,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:21,2013/08/04T19:49:21,          8.000,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:27,2013/08/04T19:49:27,         10.000,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:29,2013/08/04T19:49:30,          9.000,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:30,2013/08/04T19:49:30,          1.000,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:30,2013/08/04T19:49:40,          5.300,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:30,2013/08/04T19:49:41,         35.182,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:33,2013/08/04T19:49:45,          1.750,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:35,2013/08/04T19:49:49,          1.500,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:36,2013/08/04T19:49:38,        117.000,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:37,2013/08/04T19:49:47,          4.400,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:39,2013/08/04T19:49:51,          4.583,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:42,2013/08/04T19:49:42,         11.000,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:42,2013/08/04T19:49:43,          8.000,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:43,2013/08/04T19:49:43,          1.000,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:43,2013/08/04T19:49:53,         20.700,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:45,2013/08/04T19:50:00,          0.733,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:46,2013/08/04T19:49:48,         64.500,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:47,2013/08/04T19:49:57,          2.300,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:47,2013/08/04T19:50:00,          0.846,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:48,2013/08/04T19:49:48,          1.000,
                              10.5.18.2,                              10.5.12.2,2013/08/04T19:49:49,2013/08/04T19:49:49,          2.000,
