                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:14,2013/08/04T19:59:14,         24.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:14,2013/08/04T19:59:37,          4.957,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:14,2013/08/04T19:59:39,         19.040,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:15,2013/08/04T19:59:36,          9.619,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:16,2013/08/04T19:59:16,          9.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:16,2013/08/04T19:59:20,          2.500,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:16,2013/08/04T19:59:38,          2.682,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:17,2013/08/04T19:59:17,          2.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:17,2013/08/04T19:59:18,          2.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:19,2013/08/04T19:59:19,         10.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:19,2013/08/04T19:59:29,          0.600,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:20,2013/08/04T19:59:20,          1.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:20,2013/08/04T19:59:21,         10.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:21,2013/08/04T19:59:21,          2.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:23,2013/08/04T19:59:54,         15.452,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:25,2013/08/04T19:59:25,          2.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:27,2013/08/04T19:59:27,         12.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:28,2013/08/04T19:59:32,          6.500,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:28,2013/08/04T19:59:38,          0.500,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:29,2013/08/04T19:59:29,         11.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:31,2013/08/04T19:59:31,          8.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:31,2013/08/04T19:59:32,          9.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:31,2013/08/04T20:00:00,         13.069,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:31,2013/08/04T20:00:01,          5.400,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:32,2013/08/04T19:59:32,          1.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:34,2013/08/04T19:59:34,         10.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:34,2013/08/04T19:59:41,          3.714,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:34,2013/08/04T19:59:48,          0.500,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:37,2013/08/04T19:59:37,         12.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:37,2013/08/04T19:59:47,          0.500,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:38,2013/08/04T19:59:39,         10.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:38,2013/08/04T19:59:40,          8.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:38,2013/08/04T19:59:48,          0.600,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:39,2013/08/04T19:59:39,          9.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:39,2013/08/04T19:59:41,         53.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:39,2013/08/04T19:59:44,          4.000,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:39,2013/08/04T19:59:49,          0.700,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:39,2013/08/04T20:00:11,         12.375,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:40,2013/08/04T19:59:50,          0.600,
                              10.5.19.2,                              10.5.18.2,2013/08/04T19:59:40,2013/08/04T20:00:10,          8.600,
