                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:14,2013/08/04T19:59:14,          3.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:14,2013/08/04T19:59:15,          8.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:14,2013/08/04T19:59:20,          0.833,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:14,2013/08/04T19:59:23,          9.556,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:14,2013/08/04T19:59:24,          0.600,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:14,2013/08/04T19:59:40,         16.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:15,2013/08/04T19:59:15,          3.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:15,2013/08/04T19:59:45,         13.933,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:16,2013/08/04T19:59:17,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:16,2013/08/04T19:59:18,         10.500,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:17,2013/08/04T19:59:17,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:18,2013/08/04T19:59:21,          2.333,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:18,2013/08/04T19:59:27,         88.222,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:20,2013/08/04T19:59:20,         13.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:20,2013/08/04T19:59:26,          4.583,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:21,2013/08/04T19:59:21,         28.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:21,2013/08/04T19:59:23,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:22,2013/08/04T19:59:22,         11.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:23,2013/08/04T19:59:24,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:23,2013/08/04T19:59:28,          5.200,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:23,2013/08/04T19:59:55,          6.469,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:24,2013/08/04T19:59:24,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:24,2013/08/04T19:59:25,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:24,2013/08/04T19:59:29,          1.400,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:25,2013/08/04T19:59:25,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:26,2013/08/04T19:59:26,          5.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:28,2013/08/04T19:59:38,          0.600,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:28,2013/08/04T19:59:58,         15.733,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:29,2013/08/04T19:59:29,          2.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:29,2013/08/04T19:59:42,          0.462,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:30,2013/08/04T19:59:40,          0.600,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:31,2013/08/04T19:59:35,          6.250,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:32,2013/08/04T19:59:33,          5.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:34,2013/08/04T19:59:34,          9.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:35,2013/08/04T19:59:35,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:35,2013/08/04T19:59:36,          6.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:36,2013/08/04T19:59:39,         10.667,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:36,2013/08/04T20:00:06,          8.367,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:37,2013/08/04T19:59:40,         53.667,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:37,2013/08/04T20:00:07,          8.433,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:39,2013/08/04T19:59:41,         53.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:42,2013/08/04T19:59:42,         11.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:43,2013/08/04T19:59:43,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:43,2013/08/04T19:59:44,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:43,2013/08/04T20:00:13,         11.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:44,2013/08/04T19:59:44,         12.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:44,2013/08/04T19:59:48,          2.250,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:46,2013/08/04T19:59:47,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:48,2013/08/04T19:59:48,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:49,2013/08/04T19:59:54,          4.600,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:50,2013/08/04T19:59:50,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:50,2013/08/04T20:00:20,          9.300,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:51,2013/08/04T19:59:51,          6.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:51,2013/08/04T20:00:01,          0.600,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:51,2013/08/04T20:00:21,         12.067,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:52,2013/08/04T20:00:01,          2.333,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:55,2013/08/04T20:00:05,          0.600,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:55,2013/08/04T20:00:25,          8.267,
                              10.5.19.2,                               10.5.1.2,2013/08/04T19:59:56,2013/08/04T19:59:56,         19.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:01,2013/08/04T20:00:01,         14.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:01,2013/08/04T20:00:07,          4.167,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:02,2013/08/04T20:00:02,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:03,2013/08/04T20:00:13,          2.100,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:07,2013/08/04T20:00:08,          8.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:09,2013/08/04T20:00:37,          0.429,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:09,2013/08/04T20:00:39,          7.200,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:10,2013/08/04T20:00:10,         11.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:11,2013/08/04T20:00:11,         11.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:13,2013/08/04T20:00:13,          2.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:14,2013/08/04T20:00:15,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:15,2013/08/04T20:00:15,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:15,2013/08/04T20:00:20,          4.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:15,2013/08/04T20:00:25,          0.600,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:17,2013/08/04T20:00:17,          9.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:19,2013/08/04T20:00:20,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:20,2013/08/04T20:00:20,          4.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:22,2013/08/04T20:00:22,         11.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:22,2013/08/04T20:00:32,          1.700,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:23,2013/08/04T20:00:24,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:23,2013/08/04T20:00:34,          0.636,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:24,2013/08/04T20:00:24,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:25,2013/08/04T20:00:34,          2.222,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:30,2013/08/04T20:00:30,          9.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:32,2013/08/04T20:00:32,          4.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:32,2013/08/04T20:00:39,          2.857,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:33,2013/08/04T20:00:34,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:34,2013/08/04T20:00:34,          4.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:34,2013/08/04T20:00:45,          1.909,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:34,2013/08/04T20:01:04,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:35,2013/08/04T20:00:36,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:36,2013/08/04T20:00:36,         14.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:37,2013/08/04T20:01:07,          2.767,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:39,2013/08/04T20:00:39,          2.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:39,2013/08/04T20:00:49,          0.700,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:39,2013/08/04T20:01:09,         13.200,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:41,2013/08/04T20:00:41,         11.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:41,2013/08/04T20:00:51,          0.600,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:42,2013/08/04T20:00:42,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:42,2013/08/04T20:00:44,          5.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:42,2013/08/04T20:00:53,          0.636,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:42,2013/08/04T20:01:12,          1.633,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:44,2013/08/04T20:00:44,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:45,2013/08/04T20:00:46,          6.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:46,2013/08/04T20:00:46,         13.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:48,2013/08/04T20:00:57,          2.333,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:49,2013/08/04T20:00:49,         12.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:50,2013/08/04T20:01:00,          0.600,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:51,2013/08/04T20:00:52,          8.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:52,2013/08/04T20:00:52,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:53,2013/08/04T20:00:53,         11.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:54,2013/08/04T20:01:06,          1.667,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:55,2013/08/04T20:01:01,          3.500,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:56,2013/08/04T20:01:06,          0.400,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:57,2013/08/04T20:00:57,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:00:59,2013/08/04T20:01:09,          0.600,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:01,2013/08/04T20:01:01,          2.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:01,2013/08/04T20:01:04,          3.667,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:02,2013/08/04T20:01:03,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:03,2013/08/04T20:01:03,          9.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:03,2013/08/04T20:01:13,          0.600,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:04,2013/08/04T20:01:04,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:04,2013/08/04T20:01:34,          6.400,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:05,2013/08/04T20:01:10,          1.800,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:06,2013/08/04T20:01:06,          2.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:06,2013/08/04T20:01:07,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:07,2013/08/04T20:01:07,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:07,2013/08/04T20:01:08,         10.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:07,2013/08/04T20:01:37,          2.267,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:08,2013/08/04T20:01:08,          1.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:08,2013/08/04T20:01:38,         15.700,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:09,2013/08/04T20:01:39,         11.733,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:09,2013/08/04T20:01:43,          6.382,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:10,2013/08/04T20:01:10,         12.000,
                              10.5.19.2,                               10.5.1.2,2013/08/04T20:01:10,2013/08/04T20:01:20,          0.600,
