                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:14,2013/08/04T19:59:14,          2.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:14,2013/08/04T19:59:21,          7.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:14,2013/08/04T19:59:34,         11.650,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:14,2013/08/04T19:59:35,         13.429,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:14,2013/08/04T19:59:36,         22.955,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:15,2013/08/04T19:59:15,          4.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:15,2013/08/04T19:59:18,          1.333,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:17,2013/08/04T19:59:17,         11.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:17,2013/08/04T19:59:22,          4.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:18,2013/08/04T19:59:18,         13.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:18,2013/08/04T19:59:28,          0.700,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:19,2013/08/04T19:59:34,          7.467,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:20,2013/08/04T19:59:20,         22.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:20,2013/08/04T19:59:23,         74.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:21,2013/08/04T19:59:23,          7.500,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:22,2013/08/04T19:59:22,          2.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:23,2013/08/04T19:59:39,          1.375,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:24,2013/08/04T19:59:24,          9.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:25,2013/08/04T19:59:25,         11.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:27,2013/08/04T19:59:28,         10.500,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:28,2013/08/04T19:59:28,          1.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:31,2013/08/04T19:59:44,          0.615,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:33,2013/08/04T19:59:33,          9.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:33,2013/08/04T19:59:39,          5.167,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:35,2013/08/04T19:59:35,          1.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:36,2013/08/04T19:59:37,         10.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:36,2013/08/04T19:59:40,          6.500,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:36,2013/08/04T20:00:07,          8.484,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:37,2013/08/04T19:59:37,          1.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:37,2013/08/04T19:59:47,          0.500,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:37,2013/08/04T20:00:07,         15.500,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:38,2013/08/04T19:59:45,          3.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:39,2013/08/04T19:59:39,         10.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:39,2013/08/04T20:00:12,          7.606,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:40,2013/08/04T19:59:51,         71.909,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:41,2013/08/04T19:59:41,         11.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:43,2013/08/04T19:59:44,          8.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:43,2013/08/04T19:59:45,        120.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:44,2013/08/04T19:59:44,          1.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:44,2013/08/04T19:59:45,         10.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:44,2013/08/04T19:59:47,          8.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:44,2013/08/04T19:59:49,          1.600,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:45,2013/08/04T19:59:45,          3.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:45,2013/08/04T19:59:55,          0.600,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:45,2013/08/04T19:59:56,          2.364,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:45,2013/08/04T20:00:15,         12.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:48,2013/08/04T19:59:52,          6.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:49,2013/08/04T19:59:59,          0.600,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:50,2013/08/04T20:00:00,          2.200,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:50,2013/08/04T20:00:12,          0.955,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:51,2013/08/04T19:59:51,         18.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:51,2013/08/04T19:59:53,          4.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:52,2013/08/04T20:00:22,         10.367,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:53,2013/08/04T19:59:53,          1.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:56,2013/08/04T19:59:56,         10.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:56,2013/08/04T20:00:26,          9.533,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:58,2013/08/04T20:00:28,         14.100,
                              10.5.19.2,                              10.5.20.2,2013/08/04T19:59:59,2013/08/04T20:00:29,         20.767,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:00,2013/08/04T20:00:00,         23.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:01,2013/08/04T20:00:02,         10.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:01,2013/08/04T20:00:12,          0.636,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:02,2013/08/04T20:00:02,         15.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:02,2013/08/04T20:00:04,        385.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:02,2013/08/04T20:00:12,          0.600,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:03,2013/08/04T20:00:13,          0.500,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:04,2013/08/04T20:00:14,          0.700,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:04,2013/08/04T20:00:34,          5.100,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:05,2013/08/04T20:00:06,          9.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:05,2013/08/04T20:00:15,          0.600,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:06,2013/08/04T20:00:06,          1.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:07,2013/08/04T20:00:17,          0.700,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:07,2013/08/04T20:00:37,         10.267,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:08,2013/08/04T20:00:09,          7.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:08,2013/08/04T20:00:39,          1.871,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:09,2013/08/04T20:00:12,          3.333,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:09,2013/08/04T20:00:19,          0.600,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:09,2013/08/04T20:00:39,          1.100,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:10,2013/08/04T20:00:10,         11.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:10,2013/08/04T20:00:11,         14.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:11,2013/08/04T20:00:11,          1.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:11,2013/08/04T20:00:43,          7.563,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:12,2013/08/04T20:00:12,          3.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:12,2013/08/04T20:00:19,          3.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:13,2013/08/04T20:00:23,          0.600,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:14,2013/08/04T20:00:24,          0.600,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:15,2013/08/04T20:00:15,         11.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:16,2013/08/04T20:00:17,          9.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:16,2013/08/04T20:00:25,          2.333,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:17,2013/08/04T20:00:17,          1.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:17,2013/08/04T20:00:47,         26.133,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:18,2013/08/04T20:00:18,          1.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:19,2013/08/04T20:00:19,          2.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:22,2013/08/04T20:00:52,          9.317,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:24,2013/08/04T20:00:55,          6.548,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:25,2013/08/04T20:00:25,         19.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:29,2013/08/04T20:00:41,          1.833,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:31,2013/08/04T20:00:32,         10.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:32,2013/08/04T20:00:32,          1.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:32,2013/08/04T20:00:33,         10.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:33,2013/08/04T20:00:33,          1.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:33,2013/08/04T20:00:43,          0.600,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:35,2013/08/04T20:00:35,          6.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:35,2013/08/04T20:00:42,          3.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:35,2013/08/04T20:00:47,          1.750,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:36,2013/08/04T20:00:36,         17.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:36,2013/08/04T20:01:06,          1.500,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:39,2013/08/04T20:00:39,         20.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:39,2013/08/04T20:01:09,          8.833,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:41,2013/08/04T20:00:41,          7.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:41,2013/08/04T20:00:50,          2.333,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:42,2013/08/04T20:00:42,          2.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:43,2013/08/04T20:00:43,         11.000,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:43,2013/08/04T20:00:53,          0.600,
                              10.5.19.2,                              10.5.20.2,2013/08/04T20:00:44,2013/08/04T20:00:54,          0.600,
