                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:14,2013/08/04T19:59:15,         10.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:14,2013/08/04T19:59:22,         15.500,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:14,2013/08/04T19:59:24,         13.500,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:14,2013/08/04T19:59:37,         11.696,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:14,2013/08/04T19:59:50,        235.611,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:15,2013/08/04T19:59:15,          1.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:15,2013/08/04T19:59:16,         10.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:16,2013/08/04T19:59:16,          2.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:16,2013/08/04T19:59:36,         15.900,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:16,2013/08/04T19:59:37,         10.143,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:17,2013/08/04T19:59:17,          1.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:18,2013/08/04T19:59:18,         11.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:19,2013/08/04T19:59:19,          1.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:19,2013/08/04T19:59:29,          0.700,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:20,2013/08/04T19:59:20,         23.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:20,2013/08/04T19:59:21,         10.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:21,2013/08/04T19:59:21,          1.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:22,2013/08/04T19:59:53,          3.516,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:23,2013/08/04T19:59:23,          2.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:23,2013/08/04T19:59:34,          0.545,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:24,2013/08/04T19:59:29,          4.800,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:24,2013/08/04T19:59:54,         11.433,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:26,2013/08/04T19:59:26,         12.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:27,2013/08/04T19:59:29,          5.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:28,2013/08/04T19:59:28,          5.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:28,2013/08/04T19:59:29,         10.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:29,2013/08/04T19:59:29,          2.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:29,2013/08/04T19:59:59,         14.667,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:31,2013/08/04T19:59:35,          2.250,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:32,2013/08/04T19:59:42,          0.650,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:33,2013/08/04T19:59:43,          0.600,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:34,2013/08/04T19:59:34,          9.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:35,2013/08/04T19:59:35,          6.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:37,2013/08/04T19:59:38,          8.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:37,2013/08/04T20:00:07,          7.867,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:38,2013/08/04T19:59:48,          0.600,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:42,2013/08/04T19:59:52,          0.600,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:43,2013/08/04T19:59:43,         14.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:43,2013/08/04T19:59:53,          0.600,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:44,2013/08/04T19:59:54,          0.700,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:44,2013/08/04T19:59:55,          0.636,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:45,2013/08/04T19:59:45,          1.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:46,2013/08/04T20:00:16,         10.900,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:47,2013/08/04T20:00:17,         19.667,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:48,2013/08/04T19:59:49,         10.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:49,2013/08/04T19:59:49,          1.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:51,2013/08/04T19:59:51,          8.000,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:51,2013/08/04T20:00:01,          0.600,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:52,2013/08/04T20:00:23,         14.710,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:52,2013/08/04T20:00:30,          1.684,
                              10.5.19.2,                              10.5.14.2,2013/08/04T19:59:53,2013/08/04T19:59:54,         10.000,
