                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:14,2013/08/04T19:59:17,         25.667,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:14,2013/08/04T19:59:24,         21.000,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:14,2013/08/04T19:59:25,          1.000,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:14,2013/08/04T19:59:29,         21.933,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:14,2013/08/04T19:59:30,         16.125,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:14,2013/08/04T19:59:31,         16.235,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:14,2013/08/04T19:59:35,         11.476,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:14,2013/08/04T19:59:36,         18.182,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:15,2013/08/04T19:59:25,          0.600,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:15,2013/08/04T19:59:27,         14.417,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:15,2013/08/04T19:59:40,         13.840,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:16,2013/08/04T19:59:16,          9.000,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:17,2013/08/04T19:59:24,          3.429,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:17,2013/08/04T19:59:43,          9.500,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:18,2013/08/04T19:59:18,          2.000,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:19,2013/08/04T19:59:29,          9.800,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:23,2013/08/04T19:59:23,          4.000,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:23,2013/08/04T19:59:24,          7.000,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:25,2013/08/04T19:59:25,         16.000,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:26,2013/08/04T19:59:35,          2.222,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:27,2013/08/04T19:59:27,          1.000,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:27,2013/08/04T19:59:37,          0.600,
                              10.5.19.2,                               10.5.2.2,2013/08/04T19:59:28,2013/08/04T20:00:00,         10.000,
