                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:14,2013/08/04T19:59:14,         22.000,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:14,2013/08/04T19:59:16,         30.500,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:14,2013/08/04T19:59:19,          1.000,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:14,2013/08/04T19:59:22,         15.813,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:14,2013/08/04T19:59:24,          0.600,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:14,2013/08/04T19:59:28,         12.071,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:14,2013/08/04T19:59:31,         13.529,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:14,2013/08/04T19:59:43,          6.966,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:15,2013/08/04T19:59:21,         14.500,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:17,2013/08/04T19:59:23,          3.500,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:18,2013/08/04T19:59:28,          0.600,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:19,2013/08/04T19:59:19,          2.000,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:21,2013/08/04T19:59:21,          9.000,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:22,2013/08/04T19:59:39,         11.647,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:23,2013/08/04T19:59:23,          4.000,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:23,2013/08/04T19:59:24,          9.500,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:24,2013/08/04T19:59:24,          2.000,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:24,2013/08/04T19:59:25,         10.000,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:24,2013/08/04T19:59:34,          0.600,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:25,2013/08/04T19:59:25,          1.000,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:25,2013/08/04T19:59:35,          0.500,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:27,2013/08/04T19:59:57,          5.300,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:28,2013/08/04T19:59:33,          5.000,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:28,2013/08/04T19:59:38,          0.500,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:29,2013/08/04T19:59:39,          0.700,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:30,2013/08/04T19:59:40,          0.600,
                              10.5.19.2,                              10.5.16.2,2013/08/04T19:59:31,2013/08/04T19:59:31,          7.000,
