                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:14,2013/08/04T19:59:19,         14.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:14,2013/08/04T19:59:23,          1.333,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:14,2013/08/04T19:59:37,          1.870,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:15,2013/08/04T19:59:15,          9.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:16,2013/08/04T19:59:16,          8.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:17,2013/08/04T19:59:17,          7.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:18,2013/08/04T19:59:19,         10.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:19,2013/08/04T19:59:19,          1.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:20,2013/08/04T19:59:20,         11.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:21,2013/08/04T19:59:35,         18.429,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:22,2013/08/04T19:59:23,         10.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:22,2013/08/04T19:59:28,          4.333,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:22,2013/08/04T19:59:32,          0.500,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:22,2013/08/04T19:59:34,          0.583,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:23,2013/08/04T19:59:23,          3.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:24,2013/08/04T19:59:24,         11.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:24,2013/08/04T19:59:25,          6.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:25,2013/08/04T19:59:25,          1.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:26,2013/08/04T19:59:28,          4.500,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:27,2013/08/04T19:59:58,         12.774,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:28,2013/08/04T19:59:28,          1.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:28,2013/08/04T19:59:58,         11.900,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:28,2013/08/04T19:59:59,          9.903,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:31,2013/08/04T20:00:01,         15.600,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:32,2013/08/04T19:59:32,          1.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:32,2013/08/04T19:59:34,         13.500,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:32,2013/08/04T19:59:42,          0.600,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:33,2013/08/04T19:59:33,          1.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:34,2013/08/04T19:59:38,          6.500,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:35,2013/08/04T20:00:05,         15.733,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:36,2013/08/04T19:59:36,          2.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:36,2013/08/04T20:00:06,          7.567,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:37,2013/08/04T19:59:37,         10.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:37,2013/08/04T20:00:07,          7.567,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:38,2013/08/04T19:59:39,         10.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:39,2013/08/04T19:59:40,         10.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:40,2013/08/04T19:59:40,         12.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:40,2013/08/04T19:59:45,          5.200,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:43,2013/08/04T19:59:44,         10.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:43,2013/08/04T19:59:47,          6.250,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:44,2013/08/04T19:59:44,          1.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:44,2013/08/04T19:59:48,          2.500,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:45,2013/08/04T19:59:55,          0.600,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:48,2013/08/04T19:59:48,          7.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:50,2013/08/04T20:00:00,          0.600,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:50,2013/08/04T20:00:20,          2.733,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:51,2013/08/04T20:00:01,          0.700,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:52,2013/08/04T20:00:22,          4.100,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:53,2013/08/04T19:59:54,          4.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:54,2013/08/04T20:00:04,          0.500,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:55,2013/08/04T19:59:55,         11.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:55,2013/08/04T19:59:56,         10.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:55,2013/08/04T20:00:25,         13.967,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:56,2013/08/04T19:59:56,          7.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:58,2013/08/04T19:59:59,         10.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:58,2013/08/04T20:00:28,          2.067,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:59,2013/08/04T19:59:59,          1.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T19:59:59,2013/08/04T20:00:09,          0.600,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:00,2013/08/04T20:00:03,          3.667,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:00,2013/08/04T20:00:30,         19.533,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:02,2013/08/04T20:00:02,          9.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:02,2013/08/04T20:00:03,          9.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:02,2013/08/04T20:00:12,          0.500,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:04,2013/08/04T20:00:04,         11.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:05,2013/08/04T20:00:37,         12.250,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:06,2013/08/04T20:00:36,         16.633,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:07,2013/08/04T20:00:07,         23.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:07,2013/08/04T20:00:09,          5.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:07,2013/08/04T20:00:37,         15.600,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:07,2013/08/04T20:00:38,          9.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:09,2013/08/04T20:00:09,          9.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:09,2013/08/04T20:00:10,         10.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:10,2013/08/04T20:00:40,         13.967,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:12,2013/08/04T20:00:22,          0.600,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:13,2013/08/04T20:00:23,          0.500,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:15,2013/08/04T20:00:21,          4.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:17,2013/08/04T20:00:18,          6.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:19,2013/08/04T20:00:19,         22.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:19,2013/08/04T20:00:20,         12.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:20,2013/08/04T20:00:20,          1.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:20,2013/08/04T20:00:50,          8.400,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:22,2013/08/04T20:00:22,          2.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:23,2013/08/04T20:00:53,          8.633,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:25,2013/08/04T20:00:27,          5.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:25,2013/08/04T20:00:35,          0.600,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:26,2013/08/04T20:00:26,          4.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:27,2013/08/04T20:00:27,          1.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:27,2013/08/04T20:00:28,          8.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:28,2013/08/04T20:00:28,          1.000,
                              10.5.19.2,                              10.5.17.2,2013/08/04T20:00:29,2013/08/04T20:00:29,         10.000,
