                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:14,2013/08/04T19:59:14,          1.000,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:14,2013/08/04T19:59:39,          9.600,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:16,2013/08/04T19:59:36,          8.400,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:16,2013/08/04T19:59:46,         10.167,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:17,2013/08/04T19:59:17,          2.000,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:17,2013/08/04T19:59:27,          0.600,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:19,2013/08/04T19:59:19,          2.000,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:19,2013/08/04T19:59:20,          2.000,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:19,2013/08/04T19:59:21,          2.500,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:19,2013/08/04T19:59:50,         11.452,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:21,2013/08/04T19:59:21,         11.000,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:21,2013/08/04T19:59:22,         10.000,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:21,2013/08/04T19:59:31,          0.600,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:21,2013/08/04T19:59:44,          0.391,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:22,2013/08/04T19:59:22,          1.000,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:22,2013/08/04T19:59:23,         10.000,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:22,2013/08/04T19:59:52,          1.033,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:23,2013/08/04T19:59:23,          1.000,
                              10.5.19.2,                               10.5.4.2,2013/08/04T19:59:24,2013/08/04T19:59:54,          7.733,
