                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:14,2013/08/04T19:59:18,          2.750,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:14,2013/08/04T19:59:20,          9.667,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:14,2013/08/04T19:59:27,         10.231,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:14,2013/08/04T19:59:36,         10.909,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:16,2013/08/04T19:59:16,          8.000,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:17,2013/08/04T19:59:17,         11.000,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:17,2013/08/04T19:59:23,          3.500,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:18,2013/08/04T19:59:32,          0.429,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:21,2013/08/04T19:59:21,         15.000,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:22,2013/08/04T19:59:23,         11.000,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:23,2013/08/04T19:59:23,          2.000,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:23,2013/08/04T19:59:24,          9.333,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:24,2013/08/04T19:59:24,          1.000,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:24,2013/08/04T19:59:35,          0.545,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:25,2013/08/04T19:59:25,         11.000,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:25,2013/08/04T19:59:35,          0.600,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:26,2013/08/04T19:59:26,         11.000,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:27,2013/08/04T19:59:57,         14.567,
                              10.5.19.2,                              10.5.11.2,2013/08/04T19:59:28,2013/08/04T19:59:28,          6.000,
