                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:14,2013/08/04T19:59:15,         10.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:14,2013/08/04T19:59:24,          5.200,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:14,2013/08/04T19:59:25,          0.545,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:14,2013/08/04T19:59:26,         15.833,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:14,2013/08/04T19:59:35,          9.952,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:14,2013/08/04T19:59:36,         11.455,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:15,2013/08/04T19:59:15,          1.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:15,2013/08/04T19:59:16,          2.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:15,2013/08/04T19:59:23,          2.625,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:15,2013/08/04T19:59:36,         16.619,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:17,2013/08/04T19:59:17,          9.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:17,2013/08/04T19:59:18,         10.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:18,2013/08/04T19:59:18,          2.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:21,2013/08/04T19:59:23,          2.500,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:22,2013/08/04T19:59:52,          7.667,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:23,2013/08/04T19:59:23,          2.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:24,2013/08/04T19:59:27,         21.667,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:25,2013/08/04T19:59:25,         11.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:29,2013/08/04T19:59:32,          3.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:31,2013/08/04T19:59:33,          2.500,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:31,2013/08/04T20:00:01,          2.567,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:32,2013/08/04T19:59:35,          3.667,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:34,2013/08/04T19:59:40,          4.167,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:34,2013/08/04T20:00:04,         15.200,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:36,2013/08/04T19:59:38,          5.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:38,2013/08/04T19:59:38,          1.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:38,2013/08/04T19:59:39,         10.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:38,2013/08/04T19:59:43,          5.200,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:38,2013/08/04T19:59:48,          0.800,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:39,2013/08/04T19:59:39,          1.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:39,2013/08/04T19:59:40,         10.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:40,2013/08/04T19:59:40,          1.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:42,2013/08/04T19:59:47,          4.800,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:43,2013/08/04T20:00:13,          9.100,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:45,2013/08/04T19:59:45,          4.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:46,2013/08/04T19:59:46,         11.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:47,2013/08/04T19:59:47,         11.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:47,2013/08/04T19:59:48,          8.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:49,2013/08/04T19:59:49,         12.000,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:50,2013/08/04T19:59:58,          2.125,
                              10.5.19.2,                              10.5.12.2,2013/08/04T19:59:51,2013/08/04T19:59:53,          5.500,
