                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:14,2013/08/04T19:59:15,         30.000,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:14,2013/08/04T19:59:27,         12.692,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:14,2013/08/04T19:59:33,          8.579,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:14,2013/08/04T19:59:37,         14.109,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:14,2013/08/04T19:59:41,         17.926,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:15,2013/08/04T19:59:21,          7.833,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:15,2013/08/04T19:59:23,          1.375,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:16,2013/08/04T19:59:39,         13.435,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:18,2013/08/04T19:59:21,          9.333,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:19,2013/08/04T19:59:24,          1.200,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:21,2013/08/04T19:59:21,         11.000,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:22,2013/08/04T19:59:22,          2.000,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:23,2013/08/04T19:59:23,          1.000,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:24,2013/08/04T19:59:24,         13.000,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:25,2013/08/04T19:59:25,         12.000,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:26,2013/08/04T19:59:33,          4.714,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:28,2013/08/04T19:59:28,         27.000,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:28,2013/08/04T19:59:39,          0.545,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:30,2013/08/04T19:59:30,          2.000,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:31,2013/08/04T19:59:40,          2.333,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:32,2013/08/04T19:59:35,          3.333,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:34,2013/08/04T19:59:37,        263.667,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:35,2013/08/04T19:59:35,          1.000,
                              10.5.19.2,                               10.5.8.2,2013/08/04T19:59:37,2013/08/04T19:59:46,          2.444,
