                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:10,2013/08/04T17:24:10,          2.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:10,2013/08/04T17:24:17,          5.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:10,2013/08/04T17:24:27,          0.294,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:11,2013/08/04T17:24:11,          4.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:11,2013/08/04T17:24:16,          0.400,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:11,2013/08/04T17:24:34,          5.157,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:12,2013/08/04T17:24:22,          4.900,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:13,2013/08/04T17:24:28,          0.267,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:14,2013/08/04T17:24:14,          5.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:14,2013/08/04T17:24:16,         63.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:14,2013/08/04T17:24:17,          0.667,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:16,2013/08/04T17:24:16,          1.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:16,2013/08/04T17:24:31,          0.333,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:16,2013/08/04T17:24:32,          0.188,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:17,2013/08/04T17:24:17,          2.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:22,2013/08/04T17:24:22,          1.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:23,2013/08/04T17:24:23,          2.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:23,2013/08/04T17:24:29,          8.167,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:24,2013/08/04T17:24:24,          8.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:24,2013/08/04T17:24:27,         15.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:25,2013/08/04T17:24:25,         67.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:25,2013/08/04T17:24:32,          7.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:26,2013/08/04T17:24:30,         11.750,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:26,2013/08/04T17:24:39,          0.308,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:26,2013/08/04T17:24:54,         12.357,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:27,2013/08/04T17:24:27,          2.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:28,2013/08/04T17:24:28,          1.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:29,2013/08/04T17:24:33,          9.500,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:30,2013/08/04T17:24:30,          1.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:30,2013/08/04T17:24:32,         37.500,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:31,2013/08/04T17:24:31,          1.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:32,2013/08/04T17:24:32,          1.000,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:32,2013/08/04T17:25:02,          7.267,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:34,2013/08/04T17:24:38,         21.875,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:34,2013/08/04T17:24:39,         10.800,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:34,2013/08/04T17:24:40,          8.500,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:34,2013/08/04T17:25:01,          2.370,
                               10.5.1.2,                              10.5.15.2,2013/08/04T17:24:35,2013/08/04T17:24:39,         24.500,
