                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:10,2013/08/04T17:24:11,          5.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:10,2013/08/04T17:24:12,          3.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:10,2013/08/04T17:24:13,          0.667,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:11,2013/08/04T17:24:11,          3.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:11,2013/08/04T17:24:12,          2.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:11,2013/08/04T17:24:16,          0.400,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:11,2013/08/04T17:24:32,         24.048,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:11,2013/08/04T17:24:34,          5.043,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:12,2013/08/04T17:24:12,         10.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:12,2013/08/04T17:24:22,          0.300,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:12,2013/08/04T17:24:38,          6.269,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:13,2013/08/04T17:24:13,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:13,2013/08/04T17:24:15,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:13,2013/08/04T17:24:17,          6.125,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:14,2013/08/04T17:24:20,          3.500,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:14,2013/08/04T17:24:45,          3.032,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:15,2013/08/04T17:24:15,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:16,2013/08/04T17:24:16,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:16,2013/08/04T17:24:21,         23.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:16,2013/08/04T17:24:22,          7.667,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:17,2013/08/04T17:24:17,          2.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:17,2013/08/04T17:24:32,          0.267,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:18,2013/08/04T17:24:18,         15.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:20,2013/08/04T17:24:20,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:20,2013/08/04T17:24:26,          0.333,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:21,2013/08/04T17:24:21,         16.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:21,2013/08/04T17:24:38,          0.235,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:22,2013/08/04T17:24:22,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:22,2013/08/04T17:24:27,          9.200,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:22,2013/08/04T17:24:28,          7.833,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:24,2013/08/04T17:24:38,          0.286,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:26,2013/08/04T17:24:26,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:27,2013/08/04T17:24:27,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:27,2013/08/04T17:24:34,          8.857,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:28,2013/08/04T17:24:28,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:29,2013/08/04T17:24:32,         15.667,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:31,2013/08/04T17:24:31,          6.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:32,2013/08/04T17:24:32,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:32,2013/08/04T17:24:45,          0.231,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:32,2013/08/04T17:25:02,          3.433,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:33,2013/08/04T17:24:45,          0.250,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:33,2013/08/04T17:25:03,          4.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:34,2013/08/04T17:24:38,         24.917,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:34,2013/08/04T17:24:40,         12.889,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:37,2013/08/04T17:24:51,          3.071,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:38,2013/08/04T17:24:38,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:44,2013/08/04T17:24:45,         27.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:45,2013/08/04T17:24:45,          2.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:45,2013/08/04T17:24:49,         11.250,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:45,2013/08/04T17:25:02,          0.176,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:46,2013/08/04T17:25:16,          4.567,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:47,2013/08/04T17:25:03,          0.250,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:49,2013/08/04T17:24:49,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:50,2013/08/04T17:24:50,          4.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:57,2013/08/04T17:25:18,          6.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:58,2013/08/04T17:25:07,          5.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:58,2013/08/04T17:25:18,          4.933,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:24:58,2013/08/04T17:25:19,          5.048,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:02,2013/08/04T17:25:02,          7.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:03,2013/08/04T17:25:03,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:06,2013/08/04T17:25:10,         28.250,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:07,2013/08/04T17:25:07,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:08,2013/08/04T17:25:08,         13.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:08,2013/08/04T17:25:10,         23.500,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:10,2013/08/04T17:25:10,          3.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:15,2013/08/04T17:25:17,         17.500,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:16,2013/08/04T17:25:42,          4.308,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:17,2013/08/04T17:25:17,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:17,2013/08/04T17:25:27,          0.300,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:18,2013/08/04T17:25:25,         14.143,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:18,2013/08/04T17:25:36,          0.167,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:19,2013/08/04T17:25:19,          8.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:21,2013/08/04T17:25:38,          0.176,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:23,2013/08/04T17:25:25,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:23,2013/08/04T17:25:39,          0.313,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:33,2013/08/04T17:26:03,          1.400,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:35,2013/08/04T17:25:44,         14.667,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:35,2013/08/04T17:26:05,          3.800,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:36,2013/08/04T17:25:36,         16.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:38,2013/08/04T17:25:38,          1.000,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:38,2013/08/04T17:25:41,          0.667,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:38,2013/08/04T17:25:44,          0.333,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:39,2013/08/04T17:25:52,          2.692,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:39,2013/08/04T17:26:01,         10.500,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:41,2013/08/04T17:26:03,          3.591,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:41,2013/08/04T17:26:11,          1.433,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:42,2013/08/04T17:25:58,          0.250,
                               10.5.1.2,                              10.5.18.2,2013/08/04T17:25:44,2013/08/04T17:25:44,          1.000,
