                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:10,2013/08/04T17:24:10,          2.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:10,2013/08/04T17:24:11,          3.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:10,2013/08/04T17:24:13,          0.667,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:11,2013/08/04T17:24:11,          8.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:11,2013/08/04T17:24:12,          2.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:11,2013/08/04T17:24:15,         11.250,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:11,2013/08/04T17:24:33,          7.591,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:11,2013/08/04T17:24:34,          5.913,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:11,2013/08/04T17:24:35,          2.875,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:12,2013/08/04T17:24:12,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:13,2013/08/04T17:24:13,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:13,2013/08/04T17:24:28,          0.267,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:14,2013/08/04T17:24:14,          5.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:15,2013/08/04T17:24:15,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:18,2013/08/04T17:24:18,          8.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:20,2013/08/04T17:24:34,          0.286,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:24,2013/08/04T17:24:24,          2.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:24,2013/08/04T17:24:33,         13.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:27,2013/08/04T17:24:30,         15.333,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:29,2013/08/04T17:24:39,          0.300,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:30,2013/08/04T17:24:30,          2.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:30,2013/08/04T17:24:33,         15.333,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:30,2013/08/04T17:25:00,          4.700,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:32,2013/08/04T17:25:02,          4.567,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:33,2013/08/04T17:24:33,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:34,2013/08/04T17:24:34,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:34,2013/08/04T17:24:38,         20.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:34,2013/08/04T17:24:40,         10.208,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:34,2013/08/04T17:25:03,          3.621,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:35,2013/08/04T17:24:39,         22.750,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:37,2013/08/04T17:24:38,          6.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:37,2013/08/04T17:24:39,         21.500,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:44,2013/08/04T17:24:52,          4.625,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:45,2013/08/04T17:24:45,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:46,2013/08/04T17:25:01,          0.200,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:47,2013/08/04T17:24:54,          6.714,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:50,2013/08/04T17:24:50,          8.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:50,2013/08/04T17:25:00,          0.300,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:51,2013/08/04T17:24:51,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:51,2013/08/04T17:24:58,          5.286,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:51,2013/08/04T17:25:00,          1.556,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:53,2013/08/04T17:24:53,          5.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:54,2013/08/04T17:24:54,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:57,2013/08/04T17:25:18,          5.143,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:58,2013/08/04T17:24:58,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:24:58,2013/08/04T17:25:18,          4.379,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:01,2013/08/04T17:25:02,         34.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:01,2013/08/04T17:25:27,         10.692,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:02,2013/08/04T17:25:27,          1.800,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:06,2013/08/04T17:25:21,          0.267,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:07,2013/08/04T17:25:10,         22.333,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:07,2013/08/04T17:25:24,          0.235,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:08,2013/08/04T17:25:08,          8.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:08,2013/08/04T17:25:09,         44.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:09,2013/08/04T17:25:09,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:10,2013/08/04T17:25:27,          0.176,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:15,2013/08/04T17:25:45,          3.433,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:17,2013/08/04T17:25:17,          2.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:17,2013/08/04T17:25:22,          5.800,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:18,2013/08/04T17:25:25,         14.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:18,2013/08/04T17:25:26,         15.792,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:21,2013/08/04T17:25:21,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:21,2013/08/04T17:25:27,          0.167,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:22,2013/08/04T17:25:22,         17.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:23,2013/08/04T17:25:24,          2.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:24,2013/08/04T17:25:24,          4.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:27,2013/08/04T17:25:27,          2.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:33,2013/08/04T17:26:03,          3.967,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:35,2013/08/04T17:25:38,         14.667,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:35,2013/08/04T17:26:05,          3.900,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:36,2013/08/04T17:26:07,          0.839,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:37,2013/08/04T17:25:42,          0.400,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:38,2013/08/04T17:25:38,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:38,2013/08/04T17:25:52,          0.286,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:41,2013/08/04T17:26:03,          3.500,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:42,2013/08/04T17:25:42,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:42,2013/08/04T17:25:52,          0.300,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:42,2013/08/04T17:26:03,          5.619,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:45,2013/08/04T17:25:45,          5.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:45,2013/08/04T17:26:01,          0.188,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:46,2013/08/04T17:26:03,          0.176,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:48,2013/08/04T17:26:07,          0.211,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:49,2013/08/04T17:26:08,          0.211,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:51,2013/08/04T17:25:51,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:51,2013/08/04T17:26:01,          4.100,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:52,2013/08/04T17:25:52,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:59,2013/08/04T17:25:59,         17.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:25:59,2013/08/04T17:26:07,          0.250,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:01,2013/08/04T17:26:01,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:01,2013/08/04T17:26:11,          0.300,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:02,2013/08/04T17:26:27,          5.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:03,2013/08/04T17:26:03,          3.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:03,2013/08/04T17:26:26,          5.246,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:03,2013/08/04T17:26:37,          0.118,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:04,2013/08/04T17:26:04,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:05,2013/08/04T17:26:05,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:06,2013/08/04T17:26:25,          0.158,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:07,2013/08/04T17:26:07,          2.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:07,2013/08/04T17:26:11,          0.500,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:08,2013/08/04T17:26:08,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:09,2013/08/04T17:26:26,          0.176,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:10,2013/08/04T17:26:10,          2.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:11,2013/08/04T17:26:11,          3.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:12,2013/08/04T17:26:12,          2.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:24,2013/08/04T17:26:24,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:24,2013/08/04T17:26:44,          0.150,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:25,2013/08/04T17:26:25,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:26,2013/08/04T17:26:26,          3.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:26,2013/08/04T17:26:48,          0.682,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:26,2013/08/04T17:26:49,          1.026,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:27,2013/08/04T17:26:57,          1.233,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:36,2013/08/04T17:26:44,         15.250,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:37,2013/08/04T17:26:37,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:38,2013/08/04T17:27:07,          1.690,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:39,2013/08/04T17:26:39,          6.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:39,2013/08/04T17:26:58,         21.211,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:40,2013/08/04T17:26:40,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:40,2013/08/04T17:27:01,          0.143,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:43,2013/08/04T17:26:43,          3.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:43,2013/08/04T17:26:44,         19.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:44,2013/08/04T17:26:44,          1.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:47,2013/08/04T17:26:47,          2.000,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:47,2013/08/04T17:26:57,          0.300,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:47,2013/08/04T17:27:09,          0.182,
                               10.5.1.2,                               10.5.6.2,2013/08/04T17:26:49,2013/08/04T17:26:53,          5.750,
