                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:10,2013/08/04T17:24:16,         17.583,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:10,2013/08/04T17:24:32,         11.136,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:10,2013/08/04T17:24:40,          1.567,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:11,2013/08/04T17:24:11,          5.000,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:11,2013/08/04T17:24:34,          5.500,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:12,2013/08/04T17:24:12,          7.000,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:14,2013/08/04T17:24:22,          0.375,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:15,2013/08/04T17:24:16,          9.000,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:15,2013/08/04T17:24:45,          1.233,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:16,2013/08/04T17:24:16,          2.000,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:17,2013/08/04T17:24:17,          2.000,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:21,2013/08/04T17:24:26,          9.000,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:22,2013/08/04T17:24:22,          1.000,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:23,2013/08/04T17:24:37,          0.286,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:26,2013/08/04T17:24:26,          1.000,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:27,2013/08/04T17:24:38,          0.364,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:28,2013/08/04T17:24:31,         12.833,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:31,2013/08/04T17:24:32,          2.000,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:31,2013/08/04T17:24:39,         12.125,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:31,2013/08/04T17:25:01,          2.767,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:32,2013/08/04T17:24:35,         16.000,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:32,2013/08/04T17:24:48,          0.250,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:34,2013/08/04T17:24:39,         16.600,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:34,2013/08/04T17:24:40,          9.333,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:35,2013/08/04T17:24:35,          1.000,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:35,2013/08/04T17:25:03,          5.179,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:37,2013/08/04T17:24:37,          6.000,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:37,2013/08/04T17:24:40,        255.333,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:38,2013/08/04T17:24:40,         16.000,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:38,2013/08/04T17:24:50,          0.333,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:38,2013/08/04T17:24:52,          0.286,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:39,2013/08/04T17:25:09,          4.133,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:44,2013/08/04T17:24:44,          5.000,
                               10.5.1.2,                               10.5.3.2,2013/08/04T17:24:46,2013/08/04T17:24:59,          0.346,
