                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:10,2013/08/04T17:24:14,          7.750,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:10,2013/08/04T17:24:18,         10.250,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:11,2013/08/04T17:24:11,          2.000,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:11,2013/08/04T17:24:14,          1.000,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:11,2013/08/04T17:24:34,          5.014,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:12,2013/08/04T17:24:12,         10.000,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:12,2013/08/04T17:24:29,          0.235,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:14,2013/08/04T17:24:14,          1.000,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:14,2013/08/04T17:24:24,          0.300,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:15,2013/08/04T17:24:20,          3.600,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:16,2013/08/04T17:24:22,          7.833,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:17,2013/08/04T17:24:20,          0.667,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:20,2013/08/04T17:24:20,          2.000,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:21,2013/08/04T17:24:51,          2.800,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:22,2013/08/04T17:24:22,          1.000,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:24,2013/08/04T17:24:32,          5.750,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:25,2013/08/04T17:24:27,        384.500,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:25,2013/08/04T17:24:54,          7.638,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:26,2013/08/04T17:24:34,          6.875,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:28,2013/08/04T17:24:38,          0.400,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:29,2013/08/04T17:24:29,          1.000,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:31,2013/08/04T17:24:31,          9.000,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:31,2013/08/04T17:24:32,        127.000,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:31,2013/08/04T17:25:03,          1.844,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:32,2013/08/04T17:24:32,          1.000,
                               10.5.1.2,                               10.5.9.2,2013/08/04T17:24:32,2013/08/04T17:25:02,          3.133,
