                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:10,2013/08/04T17:24:10,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:11,2013/08/04T17:24:11,         13.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:11,2013/08/04T17:24:14,          0.667,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:11,2013/08/04T17:24:25,          0.286,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:11,2013/08/04T17:24:31,          2.650,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:11,2013/08/04T17:24:33,          5.045,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:11,2013/08/04T17:24:34,          5.464,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:11,2013/08/04T17:24:40,          3.207,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:12,2013/08/04T17:24:13,          6.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:13,2013/08/04T17:24:13,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:13,2013/08/04T17:24:18,          9.200,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:14,2013/08/04T17:24:34,          4.050,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:16,2013/08/04T17:24:18,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:17,2013/08/04T17:24:18,         32.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:18,2013/08/04T17:24:18,         10.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:18,2013/08/04T17:24:33,          0.267,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:23,2013/08/04T17:24:23,          5.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:24,2013/08/04T17:24:24,          7.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:25,2013/08/04T17:24:25,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:25,2013/08/04T17:24:54,          8.586,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:26,2013/08/04T17:24:26,          5.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:28,2013/08/04T17:24:38,          0.300,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:29,2013/08/04T17:24:45,          0.250,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:32,2013/08/04T17:24:35,         13.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:32,2013/08/04T17:25:02,          2.178,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:33,2013/08/04T17:24:45,          0.250,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:34,2013/08/04T17:24:39,         18.933,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:34,2013/08/04T17:24:40,         21.667,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:37,2013/08/04T17:24:39,         20.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:37,2013/08/04T17:24:44,          5.143,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:38,2013/08/04T17:24:50,          0.333,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:38,2013/08/04T17:25:08,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:39,2013/08/04T17:25:08,          0.345,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:44,2013/08/04T17:24:44,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:44,2013/08/04T17:24:52,          0.250,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:44,2013/08/04T17:25:10,          2.500,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:45,2013/08/04T17:24:45,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:45,2013/08/04T17:25:01,          0.188,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:47,2013/08/04T17:24:54,          6.857,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:48,2013/08/04T17:24:54,          7.667,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:48,2013/08/04T17:24:58,          0.300,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:50,2013/08/04T17:24:50,         15.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:53,2013/08/04T17:24:53,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:54,2013/08/04T17:24:54,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:54,2013/08/04T17:24:59,          0.400,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:58,2013/08/04T17:25:18,          3.733,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:59,2013/08/04T17:24:59,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:24:59,2013/08/04T17:25:03,         13.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:00,2013/08/04T17:25:16,          0.188,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:01,2013/08/04T17:25:01,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:01,2013/08/04T17:25:16,          0.200,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:02,2013/08/04T17:25:02,         18.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:03,2013/08/04T17:25:15,          0.250,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:07,2013/08/04T17:25:36,          0.724,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:09,2013/08/04T17:25:35,          9.615,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:09,2013/08/04T17:25:39,          2.733,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:16,2013/08/04T17:25:16,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:18,2013/08/04T17:25:21,         23.667,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:18,2013/08/04T17:25:25,         15.714,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:21,2013/08/04T17:25:22,          5.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:21,2013/08/04T17:25:23,        385.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:21,2013/08/04T17:25:36,          0.200,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:25,2013/08/04T17:25:25,         31.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:35,2013/08/04T17:25:35,          6.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:36,2013/08/04T17:25:36,          8.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:37,2013/08/04T17:25:37,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:39,2013/08/04T17:25:42,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:40,2013/08/04T17:26:10,          3.300,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:41,2013/08/04T17:25:48,          6.857,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:41,2013/08/04T17:26:03,          4.409,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:42,2013/08/04T17:25:42,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:42,2013/08/04T17:25:49,          5.429,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:42,2013/08/04T17:26:03,          4.524,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:45,2013/08/04T17:26:01,          0.188,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:45,2013/08/04T17:26:11,         10.462,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:45,2013/08/04T17:26:12,         10.407,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:46,2013/08/04T17:26:00,          0.214,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:47,2013/08/04T17:25:47,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:48,2013/08/04T17:25:48,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:48,2013/08/04T17:25:50,          2.500,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:49,2013/08/04T17:25:49,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:49,2013/08/04T17:26:06,          0.294,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:51,2013/08/04T17:25:52,         22.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:25:57,2013/08/04T17:26:28,          0.129,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:00,2013/08/04T17:26:00,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:00,2013/08/04T17:26:08,          5.875,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:01,2013/08/04T17:26:01,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:01,2013/08/04T17:26:11,          0.300,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:03,2013/08/04T17:26:26,          4.626,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:05,2013/08/04T17:26:05,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:06,2013/08/04T17:26:06,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:07,2013/08/04T17:26:07,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:08,2013/08/04T17:26:08,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:09,2013/08/04T17:26:09,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:12,2013/08/04T17:26:12,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:23,2013/08/04T17:26:23,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:24,2013/08/04T17:26:24,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:24,2013/08/04T17:26:25,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:26,2013/08/04T17:26:28,          1.500,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:26,2013/08/04T17:26:49,          0.145,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:27,2013/08/04T17:26:28,          7.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:27,2013/08/04T17:27:01,          0.118,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:36,2013/08/04T17:26:44,          4.688,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:38,2013/08/04T17:26:38,          3.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:38,2013/08/04T17:26:59,          0.190,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:39,2013/08/04T17:26:39,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:43,2013/08/04T17:26:43,          3.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:44,2013/08/04T17:26:44,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:47,2013/08/04T17:26:47,          4.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:47,2013/08/04T17:27:04,          0.176,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:49,2013/08/04T17:26:54,         10.800,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:50,2013/08/04T17:26:50,          7.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:50,2013/08/04T17:26:54,          8.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:51,2013/08/04T17:27:01,          0.200,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:56,2013/08/04T17:26:56,          9.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:57,2013/08/04T17:26:57,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:57,2013/08/04T17:27:04,          3.857,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:26:59,2013/08/04T17:26:59,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:27:00,2013/08/04T17:27:00,         12.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:27:00,2013/08/04T17:27:04,          0.500,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:27:01,2013/08/04T17:27:01,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:27:01,2013/08/04T17:27:11,          0.200,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:27:03,2013/08/04T17:27:03,          3.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:27:04,2013/08/04T17:27:04,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:09,2013/08/04T17:28:09,          4.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:09,2013/08/04T17:28:11,         18.500,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:10,2013/08/04T17:28:10,         20.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:12,2013/08/04T17:28:12,         11.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:12,2013/08/04T17:28:16,         29.250,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:13,2013/08/04T17:28:13,          9.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:14,2013/08/04T17:28:14,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:15,2013/08/04T17:28:50,          0.114,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:16,2013/08/04T17:28:17,          8.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:17,2013/08/04T17:28:17,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:17,2013/08/04T17:28:18,         40.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:18,2013/08/04T17:28:18,         14.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:18,2013/08/04T17:28:41,          1.006,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:18,2013/08/04T17:29:10,          0.038,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:19,2013/08/04T17:28:19,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:19,2013/08/04T17:28:51,          0.125,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:20,2013/08/04T17:28:20,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:21,2013/08/04T17:28:51,          0.100,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:34,2013/08/04T17:28:34,         18.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:34,2013/08/04T17:29:04,          6.433,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:36,2013/08/04T17:29:06,          0.167,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:37,2013/08/04T17:28:53,          0.125,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:38,2013/08/04T17:29:09,          0.161,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:40,2013/08/04T17:29:10,          7.167,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:41,2013/08/04T17:29:03,          5.068,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:43,2013/08/04T17:28:43,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:43,2013/08/04T17:29:04,          0.190,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:45,2013/08/04T17:28:55,          0.300,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:46,2013/08/04T17:28:46,         18.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:47,2013/08/04T17:28:48,          7.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:48,2013/08/04T17:28:48,          7.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:48,2013/08/04T17:28:50,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:49,2013/08/04T17:28:59,          0.300,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:50,2013/08/04T17:28:50,          5.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:50,2013/08/04T17:28:59,          0.222,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:51,2013/08/04T17:28:51,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:51,2013/08/04T17:28:52,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:52,2013/08/04T17:28:52,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:53,2013/08/04T17:28:53,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:53,2013/08/04T17:28:54,        772.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:54,2013/08/04T17:29:04,          0.300,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:57,2013/08/04T17:28:58,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:58,2013/08/04T17:28:58,          2.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:28:59,2013/08/04T17:28:59,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:29:00,2013/08/04T17:29:00,          3.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:29:01,2013/08/04T17:29:01,          3.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:29:02,2013/08/04T17:29:02,          5.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:29:03,2013/08/04T17:29:03,          8.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:29:03,2013/08/04T17:29:07,         26.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:29:03,2013/08/04T17:29:08,         10.800,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:29:03,2013/08/04T17:29:09,         18.667,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:29:03,2013/08/04T17:29:10,         13.214,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:29:04,2013/08/04T17:29:04,          1.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:29:06,2013/08/04T17:29:06,          4.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:29:07,2013/08/04T17:29:07,          7.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:29:08,2013/08/04T17:29:08,          3.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T17:29:09,2013/08/04T17:29:09,         37.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T19:14:43,2013/08/04T19:14:55,          3.167,
                               10.5.1.2,                              10.5.17.2,2013/08/04T19:14:44,2013/08/04T19:14:44,          8.000,
                               10.5.1.2,                              10.5.17.2,2013/08/04T19:14:44,2013/08/04T19:15:14,          1.933,
                               10.5.1.2,                              10.5.17.2,2013/08/04T19:14:45,2013/08/04T19:14:46,        245.000,
