                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:10,2013/08/04T17:24:28,          0.278,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:11,2013/08/04T17:24:11,          2.000,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:11,2013/08/04T17:24:29,         14.833,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:11,2013/08/04T17:24:34,          5.348,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:12,2013/08/04T17:24:34,          1.955,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:13,2013/08/04T17:24:39,          2.577,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:14,2013/08/04T17:24:32,          7.056,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:15,2013/08/04T17:24:30,          0.333,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:16,2013/08/04T17:24:47,          1.226,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:17,2013/08/04T17:24:31,          0.214,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:18,2013/08/04T17:24:31,          0.308,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:20,2013/08/04T17:24:34,          0.357,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:21,2013/08/04T17:24:28,          7.000,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:21,2013/08/04T17:24:34,          0.385,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:23,2013/08/04T17:24:32,         16.222,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:23,2013/08/04T17:24:35,          0.333,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:24,2013/08/04T17:24:24,          7.000,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:25,2013/08/04T17:24:28,         15.333,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:25,2013/08/04T17:24:54,          6.534,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:26,2013/08/04T17:24:32,         23.167,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:27,2013/08/04T17:24:33,          8.000,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:28,2013/08/04T17:24:28,          3.000,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:29,2013/08/04T17:24:35,          0.333,
                               10.5.1.2,                              10.5.11.2,2013/08/04T17:24:30,2013/08/04T17:24:30,          1.000,
