                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:10,2013/08/04T17:24:11,         14.500,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:10,2013/08/04T17:24:14,         10.250,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:10,2013/08/04T17:24:32,         14.636,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:10,2013/08/04T17:24:34,         12.500,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:11,2013/08/04T17:24:11,          6.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:11,2013/08/04T17:24:14,         15.667,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:11,2013/08/04T17:24:33,          5.318,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:11,2013/08/04T17:24:34,          5.087,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:12,2013/08/04T17:24:13,          8.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:12,2013/08/04T17:24:15,          0.667,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:14,2013/08/04T17:24:14,          2.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:14,2013/08/04T17:24:18,          6.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:15,2013/08/04T17:24:15,          3.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:16,2013/08/04T17:24:32,          0.250,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:18,2013/08/04T17:24:18,         10.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:18,2013/08/04T17:24:22,          0.750,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:18,2013/08/04T17:24:33,          0.267,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:22,2013/08/04T17:24:22,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:24,2013/08/04T17:24:24,         11.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:25,2013/08/04T17:24:34,         23.556,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:25,2013/08/04T17:24:39,          2.429,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:27,2013/08/04T17:24:37,          0.300,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:29,2013/08/04T17:24:34,          0.400,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:30,2013/08/04T17:24:30,          4.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:30,2013/08/04T17:24:34,         12.250,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:31,2013/08/04T17:24:31,         10.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:31,2013/08/04T17:24:34,         16.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:32,2013/08/04T17:24:32,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:32,2013/08/04T17:24:45,          0.308,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:33,2013/08/04T17:24:33,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:34,2013/08/04T17:24:34,          2.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:34,2013/08/04T17:24:39,         16.100,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:34,2013/08/04T17:24:40,          8.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:37,2013/08/04T17:24:37,         17.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:37,2013/08/04T17:24:40,         11.333,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:37,2013/08/04T17:25:07,          4.167,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:38,2013/08/04T17:25:08,          8.567,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:39,2013/08/04T17:25:09,          4.333,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:44,2013/08/04T17:24:47,         13.667,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:44,2013/08/04T17:25:10,          1.308,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:45,2013/08/04T17:24:45,          2.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:45,2013/08/04T17:25:03,          0.167,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:45,2013/08/04T17:25:10,          4.680,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:45,2013/08/04T17:25:15,          2.100,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:47,2013/08/04T17:24:47,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:48,2013/08/04T17:25:01,          0.308,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:49,2013/08/04T17:24:59,          0.300,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:54,2013/08/04T17:24:54,          6.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:58,2013/08/04T17:25:03,         19.200,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:58,2013/08/04T17:25:18,          5.800,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:24:59,2013/08/04T17:25:15,          0.250,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:00,2013/08/04T17:25:27,          3.963,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:01,2013/08/04T17:25:17,          0.250,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:02,2013/08/04T17:25:27,          0.760,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:02,2013/08/04T17:25:33,          0.935,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:03,2013/08/04T17:25:03,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:07,2013/08/04T17:25:07,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:08,2013/08/04T17:25:38,          3.367,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:10,2013/08/04T17:25:10,          3.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:14,2013/08/04T17:25:17,         15.333,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:15,2013/08/04T17:25:25,          0.300,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:16,2013/08/04T17:25:26,          0.300,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:16,2013/08/04T17:25:43,          4.259,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:17,2013/08/04T17:25:17,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:18,2013/08/04T17:25:21,         18.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:18,2013/08/04T17:25:22,         15.375,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:18,2013/08/04T17:25:24,         15.667,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:18,2013/08/04T17:25:26,         14.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:19,2013/08/04T17:25:26,         16.429,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:21,2013/08/04T17:25:26,         18.600,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:21,2013/08/04T17:25:37,          0.188,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:22,2013/08/04T17:25:27,          4.200,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:23,2013/08/04T17:25:27,          0.500,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:24,2013/08/04T17:25:24,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:25,2013/08/04T17:25:25,          9.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:27,2013/08/04T17:25:27,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:35,2013/08/04T17:25:52,          0.294,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:41,2013/08/04T17:25:42,          5.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:41,2013/08/04T17:26:03,          5.182,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:41,2013/08/04T17:26:04,          0.391,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:42,2013/08/04T17:25:46,          0.500,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:42,2013/08/04T17:26:03,          3.571,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:43,2013/08/04T17:25:44,          2.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:43,2013/08/04T17:25:46,          0.667,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:44,2013/08/04T17:25:44,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:45,2013/08/04T17:25:53,          5.125,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:45,2013/08/04T17:26:12,          0.778,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:46,2013/08/04T17:25:46,          3.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:46,2013/08/04T17:26:02,          0.188,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:50,2013/08/04T17:26:07,          0.294,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:52,2013/08/04T17:25:52,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:53,2013/08/04T17:25:53,         18.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:25:58,2013/08/04T17:25:58,         12.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:00,2013/08/04T17:26:02,         23.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:01,2013/08/04T17:26:11,          0.300,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:02,2013/08/04T17:26:02,          2.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:03,2013/08/04T17:26:26,          4.704,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:04,2013/08/04T17:26:04,          4.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:04,2013/08/04T17:26:05,         13.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:04,2013/08/04T17:26:07,          0.667,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:05,2013/08/04T17:26:05,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:06,2013/08/04T17:26:06,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:06,2013/08/04T17:26:28,          0.136,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:07,2013/08/04T17:26:07,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:07,2013/08/04T17:26:08,          2.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:09,2013/08/04T17:26:09,          2.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:10,2013/08/04T17:26:10,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:23,2013/08/04T17:26:23,          2.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:24,2013/08/04T17:26:44,          0.200,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:26,2013/08/04T17:26:28,          2.167,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:26,2013/08/04T17:26:46,          0.200,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:26,2013/08/04T17:26:47,          0.190,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:26,2013/08/04T17:26:51,          0.680,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:28,2013/08/04T17:26:28,          1.000,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:37,2013/08/04T17:26:59,          0.227,
                               10.5.1.2,                              10.5.12.2,2013/08/04T17:26:40,2013/08/04T17:27:09,          1.069,
