                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:11,2013/08/04T17:19:21,          0.300,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:12,2013/08/04T17:19:18,          0.750,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:12,2013/08/04T17:19:22,          0.300,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:12,2013/08/04T17:19:27,          0.200,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:13,2013/08/04T17:19:13,          1.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:13,2013/08/04T17:19:18,          0.800,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:14,2013/08/04T17:19:15,          4.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:15,2013/08/04T17:19:16,          3.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:16,2013/08/04T17:19:17,          3.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:17,2013/08/04T17:19:18,          3.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:18,2013/08/04T17:19:19,          3.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:19,2013/08/04T17:19:19,          8.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:22,2013/08/04T17:19:24,          1.500,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:23,2013/08/04T17:19:23,          1.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:24,2013/08/04T17:19:24,          5.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:24,2013/08/04T17:19:25,          3.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:24,2013/08/04T17:19:26,          2.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:25,2013/08/04T17:19:26,          3.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:25,2013/08/04T17:19:27,          1.500,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:26,2013/08/04T17:19:27,          3.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:26,2013/08/04T17:19:28,          1.500,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:27,2013/08/04T17:19:32,          0.600,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:28,2013/08/04T17:19:28,          1.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:28,2013/08/04T17:19:30,          1.500,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:28,2013/08/04T17:19:33,          0.600,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:28,2013/08/04T17:19:45,          0.176,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:29,2013/08/04T17:19:29,          2.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:29,2013/08/04T17:19:30,          4.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:29,2013/08/04T17:19:39,          0.300,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:30,2013/08/04T17:19:32,          1.500,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:31,2013/08/04T17:19:33,          1.500,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:32,2013/08/04T17:19:35,          1.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:33,2013/08/04T17:19:33,          5.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:33,2013/08/04T17:19:41,          0.375,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:35,2013/08/04T17:19:39,          0.750,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:35,2013/08/04T17:19:40,          1.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:36,2013/08/04T17:19:36,          9.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:37,2013/08/04T17:19:42,          0.600,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:39,2013/08/04T17:19:39,          3.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:39,2013/08/04T17:19:47,          0.375,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:41,2013/08/04T17:19:41,          3.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:41,2013/08/04T17:19:45,          0.750,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:46,2013/08/04T17:19:51,          0.600,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:46,2013/08/04T17:19:57,          0.273,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:46,2013/08/04T17:19:59,          0.231,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:47,2013/08/04T17:19:47,          3.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:47,2013/08/04T17:19:52,          0.600,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:48,2013/08/04T17:19:55,          0.429,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:49,2013/08/04T17:19:54,          0.600,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:49,2013/08/04T17:19:55,          0.500,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:49,2013/08/04T17:20:01,          0.333,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:50,2013/08/04T17:19:53,          1.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:52,2013/08/04T17:19:56,          0.750,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:55,2013/08/04T17:19:58,          1.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:56,2013/08/04T17:19:56,          6.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:56,2013/08/04T17:19:58,          1.500,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:56,2013/08/04T17:20:17,          0.190,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:57,2013/08/04T17:20:00,          1.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:57,2013/08/04T17:20:11,          0.214,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:58,2013/08/04T17:20:01,          1.333,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:58,2013/08/04T17:20:32,          0.235,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:19:59,2013/08/04T17:20:03,          0.750,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:01,2013/08/04T17:20:04,          1.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:01,2013/08/04T17:20:05,          0.750,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:02,2013/08/04T17:20:21,          0.158,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:03,2013/08/04T17:20:08,          0.600,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:04,2013/08/04T17:20:08,          0.875,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:04,2013/08/04T17:20:10,          0.500,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:05,2013/08/04T17:20:09,          0.750,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:05,2013/08/04T17:20:24,          0.158,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:06,2013/08/04T17:20:09,          1.000,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:06,2013/08/04T17:20:11,          0.600,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:06,2013/08/04T17:20:12,          0.667,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:06,2013/08/04T17:20:14,          0.500,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:06,2013/08/04T17:20:26,          0.150,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:06,2013/08/04T17:20:27,          0.143,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:11,2013/08/04T17:20:16,          0.600,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:12,2013/08/04T17:20:17,          0.600,
                              10.5.20.2,                              10.5.15.2,2013/08/04T17:20:12,2013/08/04T17:20:27,          0.200,
