                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:13,2013/08/04T17:19:14,          3.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:13,2013/08/04T17:19:18,          0.800,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:14,2013/08/04T17:19:24,          0.300,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:15,2013/08/04T17:19:16,          3.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:16,2013/08/04T17:19:18,          1.500,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:17,2013/08/04T17:19:18,          3.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:18,2013/08/04T17:19:19,          4.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:19,2013/08/04T17:19:20,          3.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:21,2013/08/04T17:19:21,          1.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:21,2013/08/04T17:19:22,          3.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:22,2013/08/04T17:19:23,          3.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:22,2013/08/04T17:19:24,          1.500,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:23,2013/08/04T17:19:23,          1.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:23,2013/08/04T17:19:25,          1.500,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:24,2013/08/04T17:19:24,         10.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:24,2013/08/04T17:19:25,          3.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:25,2013/08/04T17:19:25,          3.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:25,2013/08/04T17:19:27,          1.500,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:26,2013/08/04T17:19:26,          3.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:26,2013/08/04T17:19:28,          1.500,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:27,2013/08/04T17:19:28,          3.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:27,2013/08/04T17:19:29,          1.500,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:28,2013/08/04T17:19:29,          3.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:28,2013/08/04T17:19:33,          0.600,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:28,2013/08/04T17:19:34,          0.500,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:30,2013/08/04T17:19:32,          2.000,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:32,2013/08/04T17:19:34,          1.500,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:32,2013/08/04T17:19:39,          0.429,
                              10.5.20.2,                              10.5.19.2,2013/08/04T17:19:33,2013/08/04T17:19:39,          0.500,
