                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:12,2013/08/04T17:19:12,          1.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:12,2013/08/04T17:19:18,          0.833,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:13,2013/08/04T17:19:13,          2.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:13,2013/08/04T17:19:14,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:13,2013/08/04T17:19:18,          0.800,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:14,2013/08/04T17:19:15,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:15,2013/08/04T17:19:16,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:15,2013/08/04T17:19:25,          0.300,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:16,2013/08/04T17:19:17,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:17,2013/08/04T17:19:17,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:17,2013/08/04T17:19:18,          4.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:20,2013/08/04T17:19:22,          1.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:21,2013/08/04T17:19:22,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:22,2013/08/04T17:19:23,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:22,2013/08/04T17:19:29,          0.429,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:23,2013/08/04T17:19:25,          2.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:24,2013/08/04T17:19:24,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:25,2013/08/04T17:19:27,          1.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:26,2013/08/04T17:19:28,          1.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:27,2013/08/04T17:19:27,          4.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:27,2013/08/04T17:19:28,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:27,2013/08/04T17:19:29,          1.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:27,2013/08/04T17:19:33,          0.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:28,2013/08/04T17:19:30,          1.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:28,2013/08/04T17:19:33,          0.600,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:29,2013/08/04T17:19:31,          1.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:29,2013/08/04T17:19:35,          0.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:30,2013/08/04T17:19:47,          0.176,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:32,2013/08/04T17:19:35,          1.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:33,2013/08/04T17:19:35,          1.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:33,2013/08/04T17:19:36,          1.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:34,2013/08/04T17:19:43,          0.333,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:35,2013/08/04T17:19:35,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:35,2013/08/04T17:19:38,          1.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:35,2013/08/04T17:19:39,          0.750,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:35,2013/08/04T17:19:40,          1.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:35,2013/08/04T17:19:46,          0.273,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:35,2013/08/04T17:19:51,          0.188,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:37,2013/08/04T17:19:37,          1.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:38,2013/08/04T17:19:43,          0.600,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:39,2013/08/04T17:19:46,          0.429,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:40,2013/08/04T17:19:40,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:41,2013/08/04T17:19:49,          0.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:41,2013/08/04T17:20:01,          0.200,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:45,2013/08/04T17:19:50,          0.600,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:45,2013/08/04T17:19:59,          0.214,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:45,2013/08/04T17:20:02,          0.176,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:48,2013/08/04T17:19:52,          0.750,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:49,2013/08/04T17:20:11,          0.136,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:50,2013/08/04T17:19:54,          0.750,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:50,2013/08/04T17:19:55,          0.600,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:51,2013/08/04T17:19:54,          1.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:52,2013/08/04T17:19:57,          0.600,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:55,2013/08/04T17:19:58,          1.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:56,2013/08/04T17:19:56,         13.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:57,2013/08/04T17:20:09,          0.333,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:58,2013/08/04T17:20:01,          1.167,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:58,2013/08/04T17:20:03,          0.600,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:58,2013/08/04T17:20:31,          0.242,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:19:58,2013/08/04T17:20:32,          0.235,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:00,2013/08/04T17:20:03,          1.167,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:03,2013/08/04T17:20:09,          0.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:04,2013/08/04T17:20:04,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:04,2013/08/04T17:20:08,          0.750,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:05,2013/08/04T17:20:24,          0.158,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:05,2013/08/04T17:20:29,          0.125,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:07,2013/08/04T17:20:07,          1.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:08,2013/08/04T17:20:08,          4.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:08,2013/08/04T17:20:23,          0.200,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:09,2013/08/04T17:20:09,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:11,2013/08/04T17:20:11,          1.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:11,2013/08/04T17:20:38,          0.111,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:14,2013/08/04T17:20:15,          4.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:14,2013/08/04T17:20:20,          0.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:16,2013/08/04T17:20:16,          6.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:16,2013/08/04T17:20:37,          0.143,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:18,2013/08/04T17:20:23,          0.600,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:18,2013/08/04T17:20:30,          0.250,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:19,2013/08/04T17:20:23,          0.750,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:20,2013/08/04T17:20:23,          1.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:20,2013/08/04T17:20:26,          0.833,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:20,2013/08/04T17:20:32,          0.250,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:23,2013/08/04T17:20:42,          0.158,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:24,2013/08/04T17:20:24,          6.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:25,2013/08/04T17:20:27,          1.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:26,2013/08/04T17:20:26,          1.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:26,2013/08/04T17:20:38,          0.250,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:28,2013/08/04T17:20:34,          0.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:28,2013/08/04T17:20:47,          0.158,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:31,2013/08/04T17:20:42,          0.364,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:31,2013/08/04T17:20:49,          0.167,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:31,2013/08/04T17:20:56,          0.120,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:33,2013/08/04T17:20:38,          0.600,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:33,2013/08/04T17:20:52,          0.158,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:35,2013/08/04T17:20:48,          0.231,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:39,2013/08/04T17:20:54,          0.200,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:40,2013/08/04T17:20:47,          0.429,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:40,2013/08/04T17:20:48,          0.375,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:40,2013/08/04T17:20:51,          0.273,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:40,2013/08/04T17:20:54,          0.214,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:41,2013/08/04T17:20:56,          0.200,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:42,2013/08/04T17:21:04,          0.136,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:43,2013/08/04T17:20:48,          0.800,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:43,2013/08/04T17:20:49,          0.722,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:43,2013/08/04T17:21:03,          0.150,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:47,2013/08/04T17:20:47,         17.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:50,2013/08/04T17:20:50,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:51,2013/08/04T17:21:10,          0.158,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:54,2013/08/04T17:20:54,          4.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:20:56,2013/08/04T17:21:12,          0.188,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:01,2013/08/04T17:21:08,          0.429,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:02,2013/08/04T17:21:06,          0.750,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:05,2013/08/04T17:21:20,          0.200,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:06,2013/08/04T17:21:40,          0.235,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:06,2013/08/04T17:21:41,          0.229,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:07,2013/08/04T17:21:07,          7.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:07,2013/08/04T17:21:17,          0.300,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:08,2013/08/04T17:21:14,          0.500,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:08,2013/08/04T17:21:15,          0.429,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:08,2013/08/04T17:21:24,          0.188,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:09,2013/08/04T17:21:29,          0.150,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:12,2013/08/04T17:21:12,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:12,2013/08/04T17:21:29,          0.176,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:13,2013/08/04T17:21:23,          0.400,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:14,2013/08/04T17:21:21,          0.429,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:15,2013/08/04T17:21:23,          0.375,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:21,2013/08/04T17:21:27,          0.667,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:21,2013/08/04T17:21:29,          0.375,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:23,2013/08/04T17:21:23,          2.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:24,2013/08/04T17:21:38,          0.214,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:24,2013/08/04T17:21:44,          0.150,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:26,2013/08/04T17:21:26,          1.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:28,2013/08/04T17:21:33,          0.600,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:29,2013/08/04T17:21:34,          1.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:29,2013/08/04T17:21:35,          0.833,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:32,2013/08/04T17:21:39,          0.429,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:33,2013/08/04T17:21:47,          0.214,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:35,2013/08/04T17:21:50,          0.200,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:36,2013/08/04T17:21:36,          3.000,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:37,2013/08/04T17:22:03,          0.115,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:40,2013/08/04T17:21:49,          0.333,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:42,2013/08/04T17:22:04,          0.136,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:42,2013/08/04T17:22:06,          0.125,
                              10.5.20.2,                               10.5.7.2,2013/08/04T17:21:43,2013/08/04T17:21:54,          0.273,
