                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:11,2013/08/04T17:19:21,          0.500,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:12,2013/08/04T17:19:18,          0.833,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:13,2013/08/04T17:19:14,          3.000,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:13,2013/08/04T17:19:18,          0.800,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:14,2013/08/04T17:19:25,          0.273,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:15,2013/08/04T17:19:30,          0.200,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:17,2013/08/04T17:19:17,          3.000,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:18,2013/08/04T17:19:18,          5.000,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:18,2013/08/04T17:19:19,          3.000,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:20,2013/08/04T17:19:20,          1.000,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:20,2013/08/04T17:19:21,          3.000,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:21,2013/08/04T17:19:22,          3.000,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:22,2013/08/04T17:19:22,          3.000,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:23,2013/08/04T17:19:39,          0.250,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:24,2013/08/04T17:19:24,          4.000,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:24,2013/08/04T17:19:26,          1.500,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:25,2013/08/04T17:20:22,          0.035,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:27,2013/08/04T17:19:29,          1.500,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:28,2013/08/04T17:19:30,          1.500,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:29,2013/08/04T17:19:31,          1.500,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:30,2013/08/04T17:19:31,          3.000,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:31,2013/08/04T17:19:33,          1.500,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:32,2013/08/04T17:19:35,          1.000,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:33,2013/08/04T17:19:36,          1.000,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:33,2013/08/04T17:19:41,          0.375,
                              10.5.20.2,                              10.5.14.2,2013/08/04T17:19:33,2013/08/04T17:19:42,          0.333,
