                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:13,2013/08/04T17:19:14,          3.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:13,2013/08/04T17:19:18,          0.800,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:14,2013/08/04T17:19:15,          3.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:16,2013/08/04T17:19:16,          2.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:16,2013/08/04T17:19:17,          3.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:17,2013/08/04T17:19:17,          3.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:17,2013/08/04T17:19:18,          3.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:18,2013/08/04T17:19:18,          1.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:19,2013/08/04T17:19:19,          5.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:19,2013/08/04T17:19:20,          3.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:20,2013/08/04T17:19:22,          1.500,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:21,2013/08/04T17:19:22,          3.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:22,2013/08/04T17:19:24,          1.500,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:24,2013/08/04T17:19:24,          3.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:24,2013/08/04T17:19:25,          3.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:24,2013/08/04T17:19:42,          0.167,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:25,2013/08/04T17:19:27,          1.500,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:25,2013/08/04T17:19:34,          0.333,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:26,2013/08/04T17:19:28,          1.500,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:27,2013/08/04T17:19:28,          3.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:27,2013/08/04T17:19:29,          1.500,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:27,2013/08/04T17:19:32,          0.600,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:27,2013/08/04T17:19:33,          0.667,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:28,2013/08/04T17:19:28,          1.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:28,2013/08/04T17:19:29,          3.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:28,2013/08/04T17:19:30,          1.500,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:28,2013/08/04T17:19:31,          1.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:29,2013/08/04T17:19:29,          1.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:29,2013/08/04T17:19:34,          0.600,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:30,2013/08/04T17:19:50,          0.150,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:31,2013/08/04T17:19:31,          3.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:31,2013/08/04T17:19:34,          1.333,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:32,2013/08/04T17:19:32,          2.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:32,2013/08/04T17:19:34,          1.500,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:32,2013/08/04T17:19:35,          1.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:34,2013/08/04T17:19:38,          0.750,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:35,2013/08/04T17:19:40,          1.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:35,2013/08/04T17:20:09,          0.235,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:36,2013/08/04T17:19:42,          0.500,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:36,2013/08/04T17:19:43,          0.429,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:36,2013/08/04T17:19:54,          0.167,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:37,2013/08/04T17:19:44,          0.429,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:38,2013/08/04T17:19:38,          9.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:40,2013/08/04T17:19:45,          0.600,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:41,2013/08/04T17:19:46,          0.600,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:42,2013/08/04T17:19:47,          0.600,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:44,2013/08/04T17:19:49,          0.600,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:46,2013/08/04T17:19:51,          0.600,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:47,2013/08/04T17:19:51,          0.750,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:47,2013/08/04T17:20:04,          0.176,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:49,2013/08/04T17:19:53,          0.750,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:50,2013/08/04T17:19:54,          0.750,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:51,2013/08/04T17:19:51,          4.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:51,2013/08/04T17:19:55,          0.750,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:52,2013/08/04T17:20:09,          0.176,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:52,2013/08/04T17:20:10,          0.167,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:54,2013/08/04T17:19:58,          0.750,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:55,2013/08/04T17:19:58,          1.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:55,2013/08/04T17:20:06,          0.273,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:55,2013/08/04T17:20:07,          0.250,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:56,2013/08/04T17:19:56,          6.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:56,2013/08/04T17:19:58,          1.500,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:57,2013/08/04T17:19:59,          1.500,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:58,2013/08/04T17:20:01,          1.500,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:58,2013/08/04T17:20:31,          0.242,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:58,2013/08/04T17:20:32,          0.206,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:19:59,2013/08/04T17:20:02,          1.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:20:00,2013/08/04T17:20:03,          1.333,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:20:02,2013/08/04T17:20:02,          3.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:20:02,2013/08/04T17:20:27,          0.120,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:20:04,2013/08/04T17:20:08,          0.750,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:20:05,2013/08/04T17:20:05,          5.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:20:05,2013/08/04T17:20:08,          1.000,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:20:05,2013/08/04T17:20:10,          0.800,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:20:07,2013/08/04T17:20:14,          0.429,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:20:08,2013/08/04T17:20:13,          0.600,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:20:08,2013/08/04T17:20:33,          0.120,
                              10.5.20.2,                              10.5.10.2,2013/08/04T17:20:09,2013/08/04T17:20:14,          0.600,
