                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:12,2013/08/04T17:19:12,          1.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:12,2013/08/04T17:19:32,          0.150,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:13,2013/08/04T17:19:14,          3.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:13,2013/08/04T17:19:18,          0.800,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:14,2013/08/04T17:19:14,          1.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:15,2013/08/04T17:19:15,          1.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:15,2013/08/04T17:19:16,          3.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:16,2013/08/04T17:19:16,          6.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:16,2013/08/04T17:19:17,          3.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:19,2013/08/04T17:19:19,          1.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:19,2013/08/04T17:19:20,          3.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:20,2013/08/04T17:19:20,          3.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:20,2013/08/04T17:19:21,          3.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:20,2013/08/04T17:19:22,          1.500,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:21,2013/08/04T17:19:22,          3.333,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:22,2013/08/04T17:19:23,          3.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:24,2013/08/04T17:19:24,          3.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:25,2013/08/04T17:19:26,          3.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:27,2013/08/04T17:19:29,          1.500,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:28,2013/08/04T17:19:30,          1.500,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:29,2013/08/04T17:19:31,          1.500,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:30,2013/08/04T17:19:32,          1.500,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:31,2013/08/04T17:19:32,          3.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:32,2013/08/04T17:19:32,          3.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:32,2013/08/04T17:19:33,          3.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:32,2013/08/04T17:19:35,          1.000,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:33,2013/08/04T17:19:45,          0.250,
                              10.5.20.2,                              10.5.16.2,2013/08/04T17:19:34,2013/08/04T17:19:37,          1.000,
