                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:12,2013/08/04T17:19:29,          0.176,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:13,2013/08/04T17:19:14,          3.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:13,2013/08/04T17:19:18,          0.800,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:15,2013/08/04T17:19:16,          3.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:16,2013/08/04T17:19:17,          3.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:17,2013/08/04T17:19:18,          3.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:18,2013/08/04T17:19:35,          0.176,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:19,2013/08/04T17:19:19,          5.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:20,2013/08/04T17:19:20,          3.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:20,2013/08/04T17:19:21,          3.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:21,2013/08/04T17:19:22,          3.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:22,2013/08/04T17:19:22,          1.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:22,2013/08/04T17:19:23,          3.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:22,2013/08/04T17:19:24,          1.500,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:23,2013/08/04T17:19:23,          1.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:23,2013/08/04T17:19:27,          1.250,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:24,2013/08/04T17:19:24,          4.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:24,2013/08/04T17:19:26,          1.500,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:25,2013/08/04T17:19:33,          0.375,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:26,2013/08/04T17:19:27,          3.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:26,2013/08/04T17:19:44,          0.167,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:27,2013/08/04T17:19:28,          3.500,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:27,2013/08/04T17:19:29,          1.500,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:28,2013/08/04T17:19:29,          3.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:29,2013/08/04T17:19:31,          1.500,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:30,2013/08/04T17:19:30,          3.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:30,2013/08/04T17:19:32,          1.500,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:31,2013/08/04T17:19:33,          1.500,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:32,2013/08/04T17:19:36,          1.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:33,2013/08/04T17:19:33,          9.000,
                              10.5.20.2,                               10.5.9.2,2013/08/04T17:19:33,2013/08/04T17:19:40,          0.429,
