                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:12,2013/08/04T17:19:12,          5.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:13,2013/08/04T17:19:13,          1.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:13,2013/08/04T17:19:18,          0.800,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:14,2013/08/04T17:19:15,          3.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:14,2013/08/04T17:19:30,          0.188,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:15,2013/08/04T17:19:15,          3.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:15,2013/08/04T17:19:16,          3.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:16,2013/08/04T17:19:17,          3.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:20,2013/08/04T17:19:21,          3.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:21,2013/08/04T17:19:22,          3.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:21,2013/08/04T17:19:23,          1.500,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:22,2013/08/04T17:19:22,          2.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:22,2013/08/04T17:19:23,          3.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:23,2013/08/04T17:19:23,          2.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:23,2013/08/04T17:19:24,          3.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:23,2013/08/04T17:19:25,          1.500,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:24,2013/08/04T17:19:24,          1.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:27,2013/08/04T17:19:28,          4.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:27,2013/08/04T17:20:00,          0.091,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:28,2013/08/04T17:19:30,          1.500,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:29,2013/08/04T17:19:32,          1.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:29,2013/08/04T17:19:45,          0.188,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:30,2013/08/04T17:19:30,          1.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:30,2013/08/04T17:19:38,          0.500,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:30,2013/08/04T17:19:41,          0.273,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:31,2013/08/04T17:19:33,          1.500,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:31,2013/08/04T17:19:38,          0.429,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:31,2013/08/04T17:19:43,          0.250,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:32,2013/08/04T17:19:34,          1.500,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:32,2013/08/04T17:19:35,          1.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:32,2013/08/04T17:19:36,          0.750,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:33,2013/08/04T17:19:33,          2.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:33,2013/08/04T17:19:35,          1.500,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:35,2013/08/04T17:19:35,          3.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:35,2013/08/04T17:19:40,          1.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:35,2013/08/04T17:19:41,          0.500,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:35,2013/08/04T17:19:42,          0.429,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:38,2013/08/04T17:19:38,          8.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:39,2013/08/04T17:19:51,          0.250,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:42,2013/08/04T17:19:50,          0.375,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:43,2013/08/04T17:19:48,          0.800,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:43,2013/08/04T17:19:55,          0.250,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:46,2013/08/04T17:20:02,          0.188,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:48,2013/08/04T17:19:53,          0.600,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:50,2013/08/04T17:20:02,          0.250,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:52,2013/08/04T17:19:52,          4.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:54,2013/08/04T17:19:57,          1.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:54,2013/08/04T17:19:59,          0.600,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:55,2013/08/04T17:19:58,          1.333,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:57,2013/08/04T17:20:00,          1.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:58,2013/08/04T17:20:01,          1.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:58,2013/08/04T17:20:02,          0.750,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:58,2013/08/04T17:20:31,          0.242,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:58,2013/08/04T17:20:32,          0.235,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:19:59,2013/08/04T17:20:02,          1.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:01,2013/08/04T17:20:06,          0.600,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:02,2013/08/04T17:20:06,          0.750,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:03,2013/08/04T17:20:03,          6.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:03,2013/08/04T17:20:09,          0.500,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:04,2013/08/04T17:20:26,          0.136,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:05,2013/08/04T17:20:09,          0.750,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:06,2013/08/04T17:20:11,          0.600,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:07,2013/08/04T17:20:07,          4.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:08,2013/08/04T17:20:08,          2.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:08,2013/08/04T17:20:13,          0.600,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:09,2013/08/04T17:20:31,          0.136,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:10,2013/08/04T17:20:11,          3.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:10,2013/08/04T17:20:30,          0.150,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:12,2013/08/04T17:20:18,          0.500,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:16,2013/08/04T17:20:21,          0.600,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:17,2013/08/04T17:20:38,          0.143,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:18,2013/08/04T17:20:18,          8.000,
                              10.5.20.2,                              10.5.17.2,2013/08/04T17:20:18,2013/08/04T17:20:22,          0.750,
